"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"243,449",+368,"5,226 ",,"231,925",+405,"6,298",34,169,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"96,519,011","+78,642","1,072,365 ",+315,"92,172,268","+123,024","3,274,378","3,952",,,"1,102,240,988",, ,North America
India,"44,442,507","+6,168","527,932 ",+21,"43,855,365","+9,685","59,210",698,"31,533",375,"886,147,613","628,748","1,409,384,507 ",Asia
France,"34,547,847","+18,646","154,134 ",+41,"34,037,826","+22,584","355,887",869,"526,755","2,350","271,490,188","4,139,442","65,586,180 ",Europe
Brazil,"34,492,171","+19,492","684,203 ",+174,"33,480,980",,"326,988","8,318","159,811","3,170","63,776,166","295,491","215,831,045 ",South America
Germany,"32,218,483","+33,930","147,642 ",+148,"31,317,600","+51,600","753,241","1,406","381,899","1,750","122,332,384","1,450,056","84,363,917 ",Europe
UK,"23,521,792",,"188,242 ",,"23,205,649",+420,"127,901",146,"342,593","2,742","522,526,476","7,610,559","68,658,097 ",Europe
S. Korea,"23,327,897","+81,499","26,876 ",+112,"21,329,194","+119,528","1,971,827",555,"454,162",523,"15,804,065","307,683","51,364,693 ",Asia
Italy,"21,888,255","+20,498","175,663 ",+68,"21,078,398","+32,169","634,194",207,"363,174","2,915","242,573,841","4,024,825","60,269,408 ",Europe
Russia,"19,578,730","+49,761","384,441 ",+95,"18,635,574","+38,940","558,715","2,300","134,037","2,632","273,400,000","1,871,706","146,069,910 ",Europe
Japan,"18,939,344","+167,340","39,880 ",+316,"17,110,166","+234,203","1,789,298",555,"150,745",317,"71,721,798","570,858","125,638,582 ",Asia
Turkey,"16,751,868",,"100,631 ",,N/A,N/A,N/A,975,"194,102","1,166","162,743,369","1,885,692","86,304,331 ",Asia
Spain,"13,348,856","+3,163","112,736 ",+68,"13,123,551","+4,786","112,569",339,"285,269","2,409","471,036,328","10,066,174","46,793,977 ",Europe
Vietnam,"11,414,359","+2,680","43,117 ",,"10,187,787","+9,027","1,183,455",107,"115,023",434,"85,826,548","864,881","99,235,065 ",Asia
Australia,"10,042,859","+11,710","13,957 ",+54,"9,921,496","+15,320","107,406",74,"384,186",534,"78,269,073","2,994,158","26,140,599 ",Australia/Oceania
Argentina,"9,678,225",,"129,711 ",,"9,481,735","+4,456","66,779",456,"209,968","2,814","35,716,069","774,856","46,093,829 ",South America
Netherlands,"8,387,480","+1,173","22,603 ",+3,"8,319,338","+3,294","45,539",35,"487,164","1,313","21,107,399","1,225,967","17,216,945 ",Europe
Iran,"7,530,325","+1,364","143,894 ",+27,"7,299,969","+3,286","86,462","1,043","87,236","1,667","53,730,223","622,446","86,321,131 ",Asia
Mexico,"7,027,252","+5,654","329,494 ",+38,"6,280,542","+5,780","417,216","4,798","53,291","2,499","18,176,077","137,837","131,866,178 ",North America
Indonesia,"6,362,902","+4,094","157,591 ",+25,"6,160,877","+4,843","44,434","2,771","22,742",563,"106,819,620","381,789","279,786,968 ",Asia
