"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,224535.0,70.0,5226.0,,218403.0,145.0,906.0,33.0,156.0,4.0,160000000.0,111163.0,1439323776.0,Asia
USA,87152439.0,104628.0,1035470.0,260.0,82935242.0,84649.0,3181727.0,2878.0,260343.0,3093.0,1038405268.0,3101934.0,334760543.0,North America
India,43207265.0,9743.0,524747.0,24.0,42644092.0,3791.0,38426.0,698.0,30725.0,373.0,853863238.0,607182.0,1406273121.0,Asia
Brazil,31360850.0,45073.0,667849.0,148.0,30158256.0,2870.0,534745.0,8318.0,145536.0,3099.0,63776166.0,295966.0,215484797.0,South America
France,29753370.0,40151.0,148710.0,42.0,29166810.0,24255.0,437850.0,1173.0,453882.0,2269.0,271490188.0,4141529.0,65553127.0,Europe
Germany,26727874.0,75494.0,140009.0,61.0,25803300.0,44300.0,784565.0,631.0,317047.0,1661.0,122332384.0,1451111.0,84302592.0,Europe
UK,22373146.0,10079.0,179165.0,82.0,22013928.0,6799.0,180053.0,188.0,326251.0,2613.0,522526476.0,7619623.0,68576419.0,Europe
Russia,18365879.0,3774.0,379813.0,77.0,17781922.0,4297.0,204144.0,2300.0,125746.0,2600.0,273400000.0,1871890.0,146055597.0,Europe
S. Korea,18200346.0,12146.0,24323.0,18.0,17933392.0,19292.0,242631.0,106.0,354405.0,474.0,15804065.0,307744.0,51354600.0,Asia
Italy,17590053.0,23500.0,167253.0,84.0,16797125.0,27228.0,625675.0,197.0,291759.0,2774.0,222540501.0,3691184.0,60289733.0,Europe
Turkey,15072747.0,,98965.0,,14971256.0,,2526.0,975.0,175069.0,1149.0,162743369.0,1890251.0,86096162.0,Asia
Spain,12464842.0,14152.0,107044.0,65.0,11926929.0,12392.0,430869.0,339.0,266401.0,2288.0,471036328.0,10067065.0,46789835.0,Europe
