"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"224,049",+34,"5,226 ",,"216,075",+215,"2,748",133,156,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"85,857,781","+41,984","1,031,484 ",+28,"82,152,056","+43,734","2,674,241","2,504","256,516","3,082","1,028,469,522","3,072,740","334,707,610 ",North America
India,"43,158,582","+2,833","524,630 ",+19,"42,615,574","+2,134","18,378",698,"30,698",373,"849,324,833","604,114","1,405,902,718 ",Asia
Brazil,"30,977,661","+24,082","666,568 ",+72,"29,971,308","+26,723","339,785","8,318","143,785","3,094","63,776,166","296,023","215,443,577 ",South America
France,"29,484,111","+4,673","148,251 ",+85,"28,873,058","+56,412","462,802","1,173","449,801","2,262","271,490,188","4,141,778","65,549,192 ",Europe
Germany,"26,310,294","+23,406","139,069 ",+87,"25,216,200","+78,400","955,025",656,"312,121","1,650","122,332,384","1,451,236","84,295,291 ",Europe
UK,"22,294,524","+5,608","178,549 ",+28,"21,923,608","+7,449","192,367",188,"325,151","2,604","522,526,476","7,620,704","68,566,696 ",Europe
Russia,"18,327,837","+3,801","379,029  ",+74,"17,733,870","+4,019","214,938","2,300","125,487","2,595","273,400,000","1,871,912","146,053,893 ",Europe
S. Korea,"18,086,462","+6,139","24,167 ",+9,"17,670,519","+35,864","391,776",178,"352,196",471,"15,804,065","307,751","51,353,398 ",Asia
Italy,"17,397,143","+7,957","166,631 ",+62,"16,531,231","+20,971","699,281",255,"288,547","2,764","220,866,180","3,663,266","60,292,152 ",Europe
Turkey,"15,071,772",+908,"98,961 ",+4,"14,970,310","+1,005","2,501",975,"175,108","1,150","162,614,515","1,889,298","86,071,380 ",Asia
Spain,"12,351,758","+8,498","106,455 ",+38,"11,768,798","+20,860","476,505",339,"263,987","2,275","471,036,328","10,067,171","46,789,342 ",Europe
Vietnam,"10,718,369","+1,118","43,078 ",,"9,456,541","+8,189","1,218,750",144,"108,255",435,"85,817,003","866,748","99,010,360 ",Asia
Argentina,"9,230,573",,"128,889 ",,"8,895,999",,"205,685",300,"200,720","2,803","35,716,069","776,649","45,987,419 ",South America
Japan,"8,811,614","+20,828","30,558 ",+22,"8,496,184","+31,305","284,872",90,"70,079",243,"52,387,726","416,643","125,737,583 ",Asia
Netherlands,"8,084,528",+819,"22,318 ",,"8,026,410","+3,271","35,800",34,"469,833","1,297","21,107,399","1,226,658","17,207,236 ",Europe
Australia,"7,242,842","+27,211","8,469 ",+9,"6,941,610","+38,578","292,763",96,"277,880",325,"71,847,491","2,756,512","26,064,637 ",Australia/Oceania
Iran,"7,231,802",+240,"141,310 ",+2,"7,047,817","+1,681","42,675",539,"84,047","1,642","52,223,364","606,931","86,045,028 ",Asia
Colombia,"6,103,455",,"139,854 ",,"5,934,231",,"29,370",342,"117,559","2,694","34,922,533","672,646","51,918,126 ",South America
Indonesia,"6,054,633",+218,"156,586 ",+12,"5,895,176",+287,"2,871","2,771","21,698",561,"98,662,159","353,571","279,044,578 ",Asia
Poland,"6,007,238",+83,"116,311 ",,"5,335,408",+3,"555,519",981,"159,058","3,080","36,339,628","962,193","37,767,502 ",Europe
Mexico,"5,772,032","+1,170","324,879 ",+25,"5,061,943","+1,605","385,210","4,798","43,888","2,470","16,005,640","121,699","131,518,487 ",North America
Ukraine,"5,011,433",,"108,538 ",,N/A,N/A,N/A,177,"115,918","2,511","19,521,252","451,542","43,232,413 ",Europe
Malaysia,"4,505,059","+1,325","35,669 ",+4,"4,445,611","+1,935","23,779",32,"135,868","1,076","59,912,805","1,806,913","33,157,545 ",Asia
Thailand,"4,446,502","+3,854","30,001 ",+26,"4,373,970","+6,031","42,531","1,496","63,400",428,"17,270,775","246,253","70,134,279 ",Asia
Austria,"4,250,240","+1,733","18,651 ",,"4,195,652","+1,968","35,937",38,"466,829","2,049","187,437,282","20,587,350","9,104,488 ",Europe
Belgium,"4,152,558","+1,103","31,754 ",+6,"4,028,524","+3,803","92,280",93,"355,348","2,717","34,084,851","2,916,750","11,685,899 ",Europe
Israel,"4,137,301","+2,379","10,852 ",+13,"4,113,572","+1,773","12,877",150,"443,631","1,164","41,373,364","4,436,346","9,326,000 ",Asia
Portugal,"4,066,674",,"22,583 ",,N/A,N/A,N/A,61,"401,054","2,227","42,644,919","4,205,625","10,139,971 ",Europe
South Africa,"3,954,971","+1,004","101,162 ",+16,"3,808,079","+4,354","45,730",192,"65,117","1,666","25,242,686","415,613","60,736,022 ",Africa
Czechia,"3,919,690",+29,"40,285 ",+1,"3,878,607",+328,798,9,"364,727","3,749","55,402,803","5,155,235","10,746,901 ",Europe
Canada,"3,867,057","+1,914","40,995 ",+13,"3,529,683",,"296,379",306,"100,773","1,068","61,932,171","1,613,917","38,373,818 ",North America
Chile,"3,698,667","+5,426","57,887 ",+10,"3,500,754","+2,298","140,026",132,"190,364","2,979","38,539,329","1,983,555","19,429,425 ",South America
Philippines,"3,690,448",+194,"60,455 ",,"3,627,548",+183,"2,445",480,"32,843",538,"30,174,716","268,542","112,365,020 ",Asia
Switzerland,"3,656,356",+627,"13,958 ",,"3,598,300","+2,531","44,098",45,"416,658","1,591","21,054,092","2,399,208","8,775,435 ",Europe
Peru,"3,580,347",+296,"213,186 ",+13,N/A,N/A,N/A,171,"105,775","6,298","30,647,828","905,440","33,848,550 ",South America
DPRK,"3,549,590","+100,710",70 ,+1,"3,360,990","+98,290","188,530",,"136,552",3,,,"25,994,457 ",Asia
Greece,"3,447,938","+2,400","29,828 ",+25,"3,376,750","+4,607","41,360",130,"333,912","2,889","82,474,066","7,987,105","10,325,902 ",Europe
Denmark,"2,984,042",+750,"6,358 ",+8,"2,970,859",+994,"6,825",13,"511,743","1,090","127,446,645","21,856,233","5,831,135 ",Europe
Romania,"2,908,704",+188,"65,679 ",+1,N/A,N/A,N/A,76,"153,148","3,458","23,176,485","1,220,276","18,992,823 ",Europe
Sweden,"2,507,948",,"18,944 ",,"2,482,780",+402,"6,224",7,"245,409","1,854","18,592,451","1,819,317","10,219,469 ",Europe
Iraq,"2,328,019",+111,"25,219 ",,"2,301,816",+101,984,5,"55,502",601,"18,588,581","443,166","41,945,004 ",Asia
Serbia,"2,017,189",+268,"16,080 ",+1,"1,995,746",+425,"5,363",12,"232,657","1,855","9,705,195","1,119,372","8,670,211 ",Europe
Bangladesh,"1,953,481",+34,"29,131 ",+1,"1,902,591",+169,"21,759","1,259","11,640",174,"14,120,972","84,143","167,821,313 ",Asia
Taiwan,"1,952,278","+60,026","2,165 ",+109,"446,183","+50,599","1,503,930",,"81,689",91,"18,103,910","757,516","23,899,052 ",Asia
