"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Chile,3214326.0,11764.0,43260.0,34.0,2331383.0,36955.0,839683.0,1060.0,165753.0,2231.0,33641257.0,1734778.0,19392255.0,South America,2022-03-08
Thailand,3066800.0,18943.0,23372.0,69.0,2819103.0,25005.0,224325.0,687.0,43752.0,333.0,17270775.0,246392.0,70094671.0,Asia,2022-03-08
Switzerland,2977465.0,33196.0,13341.0,6.0,2401994.0,17655.0,562130.0,141.0,339850.0,1523.0,19052041.0,2174617.0,8761103.0,Europe,2022-03-08
Austria,2924852.0,30939.0,15071.0,45.0,2616093.0,26633.0,293688.0,195.0,321665.0,1657.0,163464616.0,17977256.0,9092857.0,Europe,2022-03-08
Romania,2776910.0,5461.0,64094.0,97.0,2606660.0,12466.0,106156.0,695.0,145986.0,3370.0,21392378.0,1124626.0,19021767.0,Europe,2022-03-08
Denmark,2753889.0,14619.0,4948.0,43.0,2508360.0,28736.0,240581.0,37.0,472647.0,849.0,126006400.0,21626353.0,5826521.0,Europe,2022-03-08
Greece,2538168.0,21057.0,26303.0,57.0,2343150.0,15767.0,168715.0,364.0,245533.0,2544.0,67614869.0,6540806.0,10337391.0,Europe,2022-03-08
Sweden,2462952.0,2132.0,17660.0,5.0,2327235.0,30030.0,118057.0,50.0,241343.0,1730.0,18297871.0,1792992.0,10205214.0,Europe,2022-03-08
Iraq,2309816.0,888.0,25076.0,8.0,2259068.0,1560.0,25672.0,84.0,55338.0,601.0,18085562.0,433293.0,41739823.0,Asia,2022-03-08
Bangladesh,1948148.0,446.0,29096.0,7.0,1849946.0,3062.0,69106.0,1264.0,11634.0,174.0,13566914.0,81021.0,167449514.0,Asia,2022-03-08
Serbia,1930437.0,2588.0,15488.0,25.0,1858671.0,6272.0,56278.0,77.0,222448.0,1785.0,8862846.0,1021282.0,8678154.0,Europe,2022-03-08
Hungary,1807285.0,1387.0,44495.0,59.0,1636781.0,4456.0,126009.0,114.0,187885.0,4626.0,10882684.0,1131365.0,9619078.0,Europe,2022-03-08
Jordan,1654677.0,2350.0,13882.0,5.0,1572386.0,3709.0,68409.0,694.0,159510.0,1338.0,16319298.0,1573168.0,10373528.0,Asia,2022-03-08
Georgia,1629065.0,2783.0,16430.0,32.0,1568064.0,5450.0,44571.0,,409695.0,4132.0,16018853.0,4028600.0,3976283.0,Asia,2022-03-08
Slovakia,1522732.0,9819.0,18750.0,46.0,1355755.0,13403.0,148227.0,202.0,278680.0,3431.0,6517764.0,1192836.0,5464092.0,Europe,2022-03-08
Pakistan,1515392.0,378.0,30281.0,9.0,1455765.0,603.0,29346.0,778.0,6643.0,133.0,26712953.0,117109.0,228104063.0,Asia,2022-03-08
Ireland,1326946.0,4355.0,6571.0,1.0,1210537.0,4894.0,109838.0,51.0,263777.0,1306.0,11465339.0,2279135.0,5030567.0,Europe,2022-03-08
Norway,1325909.0,10217.0,1753.0,11.0,88952.0,,1235204.0,17.0,241401.0,319.0,9852076.0,1793714.0,5492557.0,Europe,2022-03-08
Kazakhstan,1303848.0,,13635.0,,1277112.0,,13101.0,528.0,68070.0,712.0,11575012.0,604297.0,19154496.0,Asia,2022-03-08
Morocco,1161776.0,78.0,16029.0,7.0,1144073.0,310.0,1674.0,293.0,30860.0,426.0,11237010.0,298488.0,37646466.0,Africa,2022-03-08
Bulgaria,1105968.0,2180.0,35964.0,41.0,862437.0,2295.0,207567.0,357.0,161210.0,5242.0,9307684.0,1356719.0,6860438.0,Europe,2022-03-08
Lebanon,1080381.0,1006.0,10169.0,8.0,961605.0,6139.0,108607.0,186.0,159489.0,1501.0,4795578.0,707937.0,6774017.0,Asia,2022-03-08
Cuba,1073951.0,447.0,8501.0,,1063000.0,570.0,2450.0,23.0,94914.0,751.0,12920253.0,1141871.0,11314984.0,North America,2022-03-08
Croatia,1065001.0,1016.0,15250.0,16.0,1041819.0,1268.0,7932.0,61.0,262143.0,3754.0,4554117.0,1120966.0,4062671.0,Europe,2022-03-08
Tunisia,1017907.0,1013.0,27989.0,30.0,976839.0,2061.0,13079.0,157.0,84638.0,2327.0,4419369.0,367465.0,12026650.0,Africa,2022-03-08
Nepal,977641.0,74.0,11949.0,1.0,959817.0,348.0,5875.0,100.0,32568.0,398.0,5455858.0,181753.0,30018025.0,Asia,2022-03-08
Lithuania,939231.0,4910.0,8551.0,18.0,853070.0,7596.0,77610.0,71.0,353309.0,3217.0,7837392.0,2948177.0,2658386.0,Europe,2022-03-08
Belarus,932949.0,742.0,6594.0,15.0,925111.0,688.0,1244.0,,98787.0,698.0,12564070.0,1330363.0,9444093.0,Europe,2022-03-08
Slovenia,907682.0,3190.0,6375.0,6.0,876338.0,2343.0,24969.0,85.0,436508.0,3066.0,2581261.0,1241338.0,2079419.0,Europe,2022-03-08
Bolivia,895424.0,326.0,21469.0,6.0,800110.0,1624.0,73845.0,220.0,74988.0,1798.0,2675341.0,224050.0,11940836.0,South America,2022-03-08
UAE,883593.0,323.0,2302.0,,845470.0,1168.0,35821.0,,87559.0,228.0,140796054.0,13952075.0,10091406.0,Asia,2022-03-08
Singapore,868542.0,22201.0,1099.0,15.0,810754.0,16667.0,56689.0,49.0,146521.0,185.0,23230460.0,3918935.0,5927748.0,Asia,2022-03-08
Uruguay,857635.0,1752.0,7059.0,8.0,837662.0,2257.0,12914.0,93.0,245460.0,2020.0,5775849.0,1653084.0,3493985.0,South America,2022-03-08
Ecuador,843760.0,1797.0,35316.0,7.0,,,,759.0,46633.0,1952.0,2470170.0,136522.0,18093623.0,South America,2022-03-08
Costa Rica,818996.0,1458.0,8136.0,15.0,711766.0,6237.0,99094.0,104.0,158340.0,1573.0,3801529.0,734968.0,5172373.0,North America,2022-03-08
Guatemala,795808.0,2847.0,17106.0,23.0,745959.0,4184.0,32743.0,5.0,43080.0,926.0,4019705.0,217601.0,18472824.0,North America,2022-03-08
Azerbaijan,789757.0,276.0,9547.0,16.0,776514.0,808.0,3696.0,,76728.0,928.0,6607460.0,641942.0,10292920.0,Asia,2022-03-08
Panama,758312.0,382.0,8122.0,4.0,747160.0,461.0,3030.0,26.0,171215.0,1834.0,5563603.0,1256177.0,4428996.0,North America,2022-03-08
Saudi Arabia,747934.0,219.0,9011.0,2.0,728723.0,534.0,10200.0,383.0,20935.0,252.0,41112600.0,1150785.0,35725687.0,Asia,2022-03-08
Latvia,712271.0,8137.0,5369.0,9.0,596470.0,11820.0,110432.0,46.0,384780.0,2900.0,6837749.0,3693858.0,1851113.0,Europe,2022-03-08
Finland,694142.0,,2571.0,,46000.0,,645571.0,51.0,124954.0,463.0,10032545.0,1805973.0,5555202.0,Europe,2022-03-08
Sri Lanka,653029.0,662.0,16339.0,,618386.0,124.0,18304.0,,30283.0,758.0,6368159.0,295310.0,21564310.0,Asia,2022-03-08
Paraguay,644609.0,410.0,18494.0,12.0,616648.0,799.0,9467.0,119.0,88546.0,2540.0,2547477.0,349933.0,7279909.0,South America,2022-03-08
Kuwait,624205.0,436.0,2548.0,2.0,616394.0,885.0,5263.0,22.0,142617.0,582.0,7746084.0,1769809.0,4376792.0,Asia,2022-03-08
Myanmar,601020.0,1401.0,19394.0,3.0,550882.0,1729.0,30744.0,,10923.0,352.0,7294494.0,132571.0,55023466.0,Asia,2022-03-08
Palestine,578943.0,295.0,5292.0,4.0,567242.0,1070.0,6409.0,73.0,109219.0,998.0,3078533.0,580772.0,5300762.0,Asia,2022-03-08
