"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"257,155",+215,"5,226 ",,"247,943",+382,"3,986",13,179,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"99,081,534","+8,518","1,092,946 ",+33,"96,498,807","+49,907","1,489,781","2,682","295,601","3,261","1,126,591,020","3,361,090","335,186,235 ",North America
India,"44,642,742","+1,994","528,961 ",+4,"44,090,349","+2,601","23,432",698,"31,633",375,"899,627,428","637,458","1,411,273,562 ",Asia
France,"36,568,351","+43,746","156,337 ",,"35,318,923","+37,372","1,093,091",869,"557,391","2,383","271,490,188","4,138,176","65,606,248 ",Europe
Germany,"35,172,693",,"152,482 ",,"33,279,300","+26,700","1,740,911","1,406","416,732","1,807","122,332,384","1,449,416","84,401,150 ",Europe
Brazil,"34,828,916","+6,742","687,665 ",+84,"33,998,942",,"142,309","8,318","161,214","3,183","63,776,166","295,204","216,041,267 ",South America
S. Korea,"25,271,078","+26,823","28,974 ",+22,"24,819,232","+16,393","422,872",233,"491,934",564,"15,804,065","307,647","51,370,821 ",Asia
UK,"23,855,522",,"192,682 ",,"23,453,550","+4,540","209,290",146,"347,203","2,804","522,526,476","7,605,066","68,707,686 ",Europe
Italy,"23,322,522","+31,775","178,542 ",+92,"22,620,284","+36,137","523,696",234,"387,050","2,963","251,357,139","4,171,413","60,257,069 ",Europe
Japan,"21,960,404","+34,173","46,230 ",+78,"20,468,671","+6,744","1,445,503",107,"174,865",368,"76,781,937","611,395","125,584,868 ",Asia
Russia,"21,364,263","+9,348","389,449 ",+90,"20,708,528","+15,035","266,286","2,300","146,252","2,666","273,400,000","1,871,595","146,078,600 ",Europe
Spain,"13,488,015",,"114,858 ",,"13,276,258",,"96,899",339,"288,227","2,454","471,036,328","10,065,633","46,796,492 ",Europe
