"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,249172.0,188.0,5226.0,,240906.0,206.0,3040.0,28.0,173.0,4.0,160000000.0,111163.0,1439323776.0,Asia
USA,97899166.0,18683.0,1081708.0,75.0,94530000.0,85981.0,2287458.0,3097.0,292197.0,3229.0,1115217424.0,3328563.0,335044701.0,North America
India,44568114.0,4777.0,528510.0,23.0,43995610.0,5196.0,43994.0,698.0,31603.0,375.0,893352145.0,633477.0,1410236434.0,Asia
France,35125681.0,38024.0,154887.0,,34437850.0,12861.0,532944.0,869.0,535491.0,2361.0,271490188.0,4138871.0,65595230.0,Europe
Brazil,34673221.0,6834.0,685837.0,21.0,33795688.0,,191696.0,8318.0,160579.0,3176.0,63776166.0,295361.0,215925851.0,South America
Germany,32952050.0,,149458.0,,32113700.0,11600.0,688892.0,1406.0,390516.0,1771.0,122332384.0,1449767.0,84380708.0,Europe
S. Korea,24594336.0,29315.0,28140.0,63.0,23678400.0,99669.0,887796.0,418.0,478792.0,548.0,15804065.0,307667.0,51367457.0,Asia
UK,23621952.0,,189919.0,,23322154.0,2649.0,109879.0,146.0,343940.0,2765.0,522526476.0,7608080.0,68680461.0,Europe
Italy,22284812.0,22360.0,176867.0,43.0,21684946.0,16084.0,422999.0,126.0,369787.0,2935.0,245808830.0,4078877.0,60263843.0,Europe
Japan,20982896.0,64053.0,44262.0,85.0,20202481.0,74556.0,736153.0,238.0,167042.0,352.0,75945628.0,604594.0,125614358.0,Asia
Russia,20746163.0,51269.0,386662.0,111.0,19710599.0,58412.0,648902.0,2300.0,142025.0,2647.0,273400000.0,1871656.0,146073829.0,Europe
Turkey,16873793.0,,101139.0,,16738488.0,6410.0,34166.0,975.0,195386.0,1171.0,162743369.0,1884447.0,86361330.0,Asia
Spain,13403502.0,,114009.0,,13207520.0,,81973.0,339.0,286430.0,2436.0,471036328.0,10065930.0,46795111.0,Europe
Vietnam,11471340.0,1176.0,43146.0,,10586196.0,930.0,841998.0,95.0,115534.0,435.0,85826548.0,864402.0,99290046.0,Asia
Australia,10201791.0,1124.0,14925.0,,10133494.0,,53372.0,50.0,389989.0,571.0,78835048.0,3013666.0,26159185.0,Australia/Oceania
Argentina,9707778.0,640.0,129891.0,6.0,9555018.0,1662.0,22869.0,308.0,210490.0,2816.0,35716069.0,774418.0,46119866.0,South America
Netherlands,8415459.0,,22637.0,,8356011.0,,36811.0,31.0,488722.0,1315.0,21107399.0,1225797.0,17219321.0,Europe
Iran,7546673.0,397.0,144382.0,15.0,7323594.0,388.0,78697.0,196.0,87357.0,1671.0,54042028.0,625568.0,86388688.0,Asia
Mexico,7081632.0,1480.0,330044.0,27.0,6349410.0,1611.0,402178.0,4798.0,53669.0,2501.0,18346244.0,139038.0,131951251.0,North America
Indonesia,6421118.0,1724.0,157998.0,12.0,6241138.0,2040.0,21982.0,2771.0,22935.0,564.0,108330581.0,386938.0,279968616.0,Asia
Colombia,6306552.0,,141769.0,,6133785.0,,30998.0,342.0,121067.0,2722.0,36519532.0,701066.0,52091396.0,South America
Poland,6272576.0,4527.0,117456.0,25.0,5335948.0,,819172.0,3086.0,166142.0,3111.0,37274330.0,987287.0,37754302.0,Europe
Taiwan,6211071.0,38302.0,10794.0,51.0,5432213.0,34292.0,768064.0,,259738.0,451.0,25638221.0,1072155.0,23912791.0,Asia
