"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Dominica,"14,638",,67 ,,"14,284",,287,,"202,370",926,"207,131","2,863,575","72,333 ",North America
Samoa,"13,924",,27 ,,"1,605",,"12,292",4,"69,284",134,"121,160","602,876","200,970 ",Australia/Oceania
Monaco,"12,420",+33,57 ,,"12,226",+4,137,4,"312,209","1,433","61,408","1,543,651","39,781 ",Europe
Gambia,"12,002",,365 ,,"11,591",,46,,"4,710",143,"155,686","61,095","2,548,268 ",Africa
Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,161",369,"164,926","2,895,420","56,961 ",North America
Tonga,"11,909",,12 ,,"11,517",,380,,"110,250",111,"535,009","4,952,962","108,018 ",Australia/Oceania
Yemen,"11,822",,"2,149 ",,"9,107",,566,23,380,69,"265,253","8,529","31,099,385 ",Asia
Saint Martin,"10,668",,63 ,,"1,399",,"9,206",7,"267,074","1,577","112,382","2,813,489","39,944 ",North America
Sint Maarten,"10,434",,86 ,,"10,292",,56,10,"238,110","1,963","62,056","1,416,157","43,820 ",North America
Vanuatu,"10,338",+92,14 ,,"9,774",+258,550,1,"32,200",44,"24,976","77,793","321,058 ",Australia/Oceania
Caribbean Netherlands,"10,173",+1,35 ,,"10,109",+2,29,,"381,068","1,311","30,126","1,128,484","26,696 ",North America
Eritrea,"9,769",+1,103 ,,"9,661",+1,5,,"2,683",28,"23,693","6,506","3,641,584 ",Africa
Niger,"9,031",,310 ,,"8,628",,93,1,349,12,"254,538","9,826","25,904,916 ",Africa
Antigua and Barbuda,"8,479",+73,140 ,+1,"8,189",+37,150,1,"85,215","1,407","18,901","189,958","99,501 ",North America
Guinea-Bissau,"8,305",+8,171 ,,"8,076",+21,58,6,"4,035",83,"140,579","68,303","2,058,167 ",Africa
Comoros,"8,100",,160 ,,"7,933",,7,,"8,945",177,,,"905,511 ",Africa
Sierra Leone,"7,683",,125 ,,N/A,N/A,N/A,,927,15,"259,958","31,352","8,291,462 ",Africa
Liberia,"7,459",+3,294 ,,"5,747",,"1,418",2,"1,411",56,"139,824","26,441","5,288,118 ",Africa
Chad,"7,418",,193 ,,"4,874",,"2,351",,428,11,"191,341","11,035","17,339,465 ",Africa
St. Vincent Grenadines,"6,968",+7,108 ,,"6,641",,219,,"62,424",968,"99,956","895,479","111,623 ",North America
British Virgin Islands,"6,902",,63 ,,N/A,N/A,N/A,1,"225,401","2,057","104,740","3,420,528","30,621 ",North America
Turks and Caicos,"6,160",,36 ,,"6,086",,38,4,"155,039",906,"521,408","13,123,125","39,732 ",North America
Sao Tome and Principe,"6,003",,73 ,,"5,918",,12,,"26,439",322,"29,036","127,884","227,049 ",Africa
Saint Kitts and Nevis,"5,824",,43 ,,"5,702",,79,,"107,994",797,"87,080","1,614,716","53,929 ",North America
Cook Islands,"5,717",+5,1 ,,"5,705",+10,11,,"324,922",57,"19,314","1,097,698","17,595 ",Australia/Oceania
Palau,"5,145",+19,6 ,,"4,461",+69,678,1,"281,748",329,"58,092","3,181,206","18,261 ",Australia/Oceania
St. Barth,"4,630",,6 ,,N/A,N/A,N/A,,"466,029",604,"78,646","7,916,054","9,935 ",North America
Anguilla,"3,342",,9 ,,"3,311",,22,4,"218,961",590,"51,382","3,366,442","15,263 ",North America
Kiribati,"3,204",+21,13 ,,"2,608",+1,583,3,"26,048",106,,,"123,002 ",Australia/Oceania
Saint Pierre Miquelon,"2,765",,1 ,,"2,449",,315,1,"481,791",174,"23,978","4,178,080","5,739 ",North America
Falkland Islands,"1,733",, ,,N/A,N/A,N/A,,"471,436",,"8,632","2,348,205","3,676 ",South America
Montserrat,"1,010",+7,8 ,,962,+20,40,,"202,081","1,601","13,312","2,663,465","4,998 ",North America
Wallis and Futuna,454,,7 ,,438,,9,,"41,812",645,"20,508","1,888,746","10,858 ",Australia/Oceania
Micronesia,35,, ,,33,,2,,298,,"21,923","186,800","117,361 ",Australia/Oceania
Marshall Islands,18,, ,,17,,1,,300,,,,"59,964 ",Australia/Oceania
Nauru,13,, ,,8,,5,,"1,187",,,,"10,956 ",Australia/Oceania
