"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"222,370",+240,"5,217 ",+3,"211,948",+391,"5,205",301,154,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"84,710,891","+106,741","1,028,136 ",+317,"81,447,141","+57,231","2,235,614","2,254","253,137","3,072","1,020,316,136","3,048,959","334,644,090 ",North America
India,"43,129,563","+2,364","524,303 ",+10,"42,589,841","+2,582","15,419",698,"30,687",373,"844,926,602","601,175","1,405,458,235 ",Asia
Brazil,"30,741,811","+13,525","665,376 ",+99,"29,746,640",,"329,795","8,318","142,724","3,089","63,776,166","296,091","215,394,113 ",South America
France,"29,263,304","+29,995","147,648 ",+80,"28,395,316","+59,670","720,340","1,173","446,465","2,253","271,490,188","4,142,076","65,544,470 ",Europe
Germany,"25,956,837","+64,582","138,349 ",+166,"24,299,000","+143,100","1,519,488",944,"307,959","1,641","122,332,384","1,451,387","84,286,530 ",Europe
UK,"22,227,495","+7,700","177,721 ",+126,"21,734,193",,"315,581",189,"324,229","2,592","522,297,605","7,618,662","68,555,028 ",Europe
Russia,"18,273,690","+4,732","377,975 ",+106,"17,664,676","+6,134","231,039","2,300","125,118","2,588","273,400,000","1,871,938","146,051,848 ",Europe
S. Korea,"17,861,744","+31,315","23,802 ",+31,"17,214,107","+43,235","623,835",313,"347,830",464,"15,804,065","307,760","51,351,956 ",Asia
Italy,"17,147,889","+30,820","165,630 ",+136,"16,029,269","+45,614","952,990",318,"284,400","2,747","218,557,950","3,624,807","60,295,056 ",Europe
Turkey,"15,058,627","+1,443","98,914 ",+3,"14,956,279","+1,274","3,434",975,"175,016","1,150","161,146,307","1,872,887","86,041,641 ",Asia
Spain,"12,179,234",,"105,642 ",,"11,588,576",,"485,016",339,"260,303","2,258","471,036,328","10,067,299","46,788,750 ",Europe
Vietnam,"10,702,808","+1,831","43,072 ",+1,"9,373,294","+8,437","1,286,442",206,"108,129",435,"85,812,861","866,957","98,981,674 ",Asia
Argentina,"9,135,308",,"128,776 ",,"8,895,999",,"110,533",300,"198,707","2,801","35,716,069","776,878","45,973,834 ",South America
Japan,"8,433,124","+33,734","30,122 ",+33,"8,051,254","+35,796","351,748",125,"67,062",240,"50,811,141","404,064","125,750,222 ",Asia
Netherlands,"8,072,704","+1,183","22,297 ",,"8,001,687","+2,072","48,720",44,"469,180","1,296","21,107,399","1,226,747","17,205,997 ",Europe
Iran,"7,229,074",+288,"141,244 ",+8,"7,026,733","+1,946","61,097",752,"84,049","1,642","51,877,878","603,163","86,009,781 ",Asia
Australia,"6,759,554","+56,259","7,926 ",+53,"6,370,466","+57,116","381,162",133,"259,435",304,"70,859,644","2,719,624","26,054,940 ",Australia/Oceania
Colombia,"6,098,568",+542,"139,831 ",+2,"5,930,299",+245,"28,438",342,"117,505","2,694","34,675,581","668,118","51,900,355 ",South America
Indonesia,"6,051,532",+327,"156,498  ",+17,"5,891,190",+364,"3,844","2,771","21,694",561,"97,722,986","350,325","278,949,805 ",Asia
Poland,"6,004,427",+388,"116,230 ",+13,"5,335,163",+20,"553,034",981,"158,978","3,077","36,249,231","959,765","37,768,856 ",Europe
Mexico,"5,752,441",,"324,617 ",,"5,050,420",,"377,404","4,798","43,753","2,469","15,897,804","120,920","131,474,101 ",North America
Ukraine,"5,009,301",,"108,497 ",,N/A,N/A,N/A,177,"115,846","2,509","19,521,252","451,453","43,240,982 ",Europe
Malaysia,"4,483,295","+2,017","35,630 ",+7,"4,417,694","+2,548","29,971",38,"135,267","1,075","59,422,327","1,792,856","33,143,949 ",Asia
Thailand,"4,388,610","+5,633","29,598 ",+45,"4,298,132","+8,042","60,880","1,496","62,580",422,"17,270,775","246,273","70,128,552 ",Asia
Austria,"4,222,381","+4,322","18,320 ",+8,"4,151,556","+5,609","52,505",54,"463,855","2,013","185,851,263","20,416,918","9,102,807 ",Europe
Belgium,"4,132,061","+2,517","31,669 ",+6,"3,961,911",,"138,481",105,"353,644","2,710","33,906,863","2,901,929","11,684,249 ",Europe
Israel,"4,114,967","+2,128","10,812 ",,"4,083,611",,"20,544",150,"441,236","1,159","41,373,364","4,436,346","9,326,000 ",Asia
Portugal,"4,066,674",,"22,583 ",,N/A,N/A,N/A,61,"401,015","2,227","41,997,519","4,141,382","10,140,942 ",Europe
Czechia,"3,916,938",+488,"40,259 ",+2,"3,873,296",+207,"3,383",8,"364,493","3,746","55,341,715","5,149,862","10,746,251 ",Europe
South Africa,"3,908,020","+8,179","100,867 ",+55,"3,726,962","+6,535","80,191",192,"64,370","1,661","24,963,628","411,184","60,711,507 ",Africa
Canada,"3,834,887","+5,530","40,387 ",+91,"3,509,574","+2,382","284,926",370,"99,963","1,053","61,608,584","1,605,938","38,362,980 ",North America
Philippines,"3,688,100",+103,"60,452 ",,"3,625,407",+345,"2,241",480,"32,836",538,"29,916,986","266,362","112,317,196 ",Asia
Switzerland,"3,642,604",,"13,934 ",,"3,562,426",,"66,244",71,"415,189","1,588","20,991,820","2,392,677","8,773,363 ",Europe
Chile,"3,616,950","+5,137","57,754 ",+21,"3,473,796","+1,263","85,400",150,"186,210","2,973","37,817,799","1,946,957","19,424,051 ",South America
Peru,"3,573,738",+518,"213,069 ",+11,N/A,N/A,N/A,198,"105,627","6,298","30,327,514","896,376","33,833,487 ",South America
Greece,"3,406,553","+4,626","29,619 ",+20,"3,324,287","+5,107","52,647",161,"329,851","2,868","81,540,162","7,895,392","10,327,563 ",Europe
Denmark,"2,978,630",+686,"6,304 ",+8,"2,962,898",+890,"9,428",11,"510,873","1,081","127,369,645","21,845,527","5,830,468 ",Europe
Romania,"2,904,588",+513,"65,637 ",+12,N/A,N/A,N/A,117,"152,897","3,455","23,006,705","1,211,070","18,997,008 ",Europe
Sweden,"2,506,607",+476,"18,908 ",,"2,478,293",+257,"9,406",9,"245,327","1,851","18,553,837","1,815,904","10,217,408 ",Europe
Iraq,"2,326,852",+126,"25,216 ",,"2,300,381",+145,"1,255",11,"55,513",602,"18,542,103","442,370","41,915,340 ",Asia
Serbia,"2,013,983",+361,"16,055 ",+2,"1,989,782",,"8,146",11,"232,257","1,851","9,624,550","1,109,924","8,671,359 ",Europe
Bangladesh,"1,953,103",+22,"29,127  ",,"1,900,138",+241,"23,838","1,259","11,642",174,"14,065,536","83,839","167,767,559 ",Asia
Hungary,"1,914,697","+4,749","46,446 ",+103,"1,830,803","+9,368","37,448",21,"199,150","4,831","11,394,556","1,185,163","9,614,340 ",Europe
Slovakia,"1,787,657",+253,"20,069 ",+7,"1,763,291",+734,"4,297",30,"327,134","3,673","7,131,776","1,305,086","5,464,603 ",Europe
DPRK,"1,715,950","+232,890",62 ,+6,"1,024,720","+205,630","691,168",,"66,022",2,,,"25,990,762 ",Asia
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,013","1,352","16,670,254","1,603,964","10,393,162 ",Asia
Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,428","4,229","16,920,079","4,256,834","3,974,804 ",Asia
Ireland,"1,551,835",+792,"7,244 ",+33,"1,505,844","+1,667","38,747",24,"307,827","1,437","12,169,068","2,413,893","5,041,262 ",Europe
Pakistan,"1,529,469",+66,"30,378 ",,"1,494,141",,"4,950",90,"6,681",133,"28,395,922","124,034","228,937,482 ",Asia
Norway,"1,430,531",+358,"3,061 ",,N/A,N/A,N/A,20,"260,060",556,"11,002,430","2,000,162","5,500,770 ",Europe
Kazakhstan,"1,305,660",+6,"13,661 ",,"1,291,834",+10,165,24,"68,010",712,"11,575,012","602,926","19,198,054 ",Asia
Singapore,"1,254,113","+6,442","1,369 ",+2,"1,175,996","+2,781","76,748",8,"211,249",231,"23,875,083","4,021,634","5,936,662 ",Asia
Hong Kong,"1,209,397",+329,"9,365 ",+4,N/A,N/A,N/A,5,"158,899","1,230","44,972,952","5,908,871","7,611,090 ",Asia
Morocco,"1,166,100",+116,"16,075 ",+1,"1,149,241",+74,784,293,"30,905",426,"11,237,010","297,817","37,731,312 ",Africa
Bulgaria,"1,162,724",+275,"37,071 ",+6,"1,036,716","+10,545","88,937",51,"169,732","5,412","9,947,973","1,452,185","6,850,350 ",Europe
Croatia,"1,132,671",+773,"15,945 ",+1,"1,112,824",+231,"3,902",11,"279,135","3,929","4,847,711","1,194,669","4,057,786 ",Europe
Cuba,"1,104,769",+62,"8,529 ",,"1,095,785",+70,455,23,"97,649",754,"12,920,253","1,142,006","11,313,647 ",North America
Lebanon,"1,098,232",+108,"10,412 ",+1,"1,085,202",,"2,618",186,"162,266","1,538","4,795,578","708,554","6,768,116 ",Asia
New Zealand,"1,070,373","+9,663",967 ,+30,"1,012,754","+8,023","56,652",,"213,985",193,"7,140,588","1,427,518","5,002,100 ",Australia/Oceania
Finland,"1,069,740",,"4,284 ",,N/A,N/A,N/A,21,"192,508",771,"10,832,080","1,949,314","5,556,867 ",Europe
Lithuania,"1,061,080",+177,"9,128 ",+1,"1,034,061",+422,"17,891",8,"400,245","3,443","9,961,963","3,757,710","2,651,073 ",Europe
Tunisia,"1,041,789",,"28,628 ",,N/A,N/A,N/A,29,"86,451","2,376","4,607,327","382,331","12,050,625 ",Africa
Slovenia,"1,021,144",+549,"6,627 ",+1,"1,006,408","+1,656","8,109",9,"491,059","3,187","2,659,485","1,278,922","2,079,474 ",Europe
Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,079",739,"13,220,483","1,399,957","9,443,492 ",Europe
Taiwan,"980,183","+84,398","1,176 ",+41,"87,305","+11,473","891,702",,"41,016",49,"16,601,305","694,684","23,897,643 ",Asia
Nepal,"979,028",+6,"11,952 ",,"966,929",+8,147,,"32,504",397,"5,677,107","188,484","30,119,817 ",Asia
Bolivia,"906,462",+129,"21,943 ",,"864,559",+379,"19,960",220,"75,717","1,833","2,705,422","225,984","11,971,730 ",South America
UAE,"903,382",+298,"2,302 ",,"887,155",+353,"13,925",,"89,315",228,"159,575,272","15,776,754","10,114,582 ",Asia
Uruguay,"902,540",,"7,213 ",,"892,434",,"2,893",18,"258,140","2,063","6,114,822","1,748,933","3,496,315 ",South America
