"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,224254.0,46.0,5226.0,,217414.0,304.0,1614.0,73.0,156.0,4.0,160000000.0,111163.0,1439323776.0,Asia
USA,86503057.0,46180.0,1033571.0,96.0,82527788.0,64283.0,2941698.0,2756.0,258423.0,3088.0,1033745991.0,3088260.0,334734077.0,North America
India,43178080.0,6208.0,524692.0,25.0,42628073.0,2619.0,25315.0,698.0,30708.0,373.0,851338595.0,605466.0,1406087920.0,Asia
Brazil,31153069.0,15590.0,667044.0,25.0,30063682.0,,422343.0,8318.0,144586.0,3096.0,63776166.0,295994.0,215464187.0,South America
France,29621064.0,25172.0,148464.0,,29035182.0,22806.0,437418.0,1173.0,451877.0,2265.0,271490188.0,4141654.0,65551159.0,Europe
Germany,26539842.0,29014.0,139744.0,47.0,25540200.0,24700.0,859898.0,656.0,314830.0,1658.0,122332384.0,1451173.0,84298941.0,Europe
UK,22305893.0,,178749.0,,21961655.0,7514.0,165489.0,188.0,325294.0,2607.0,522526476.0,7620163.0,68571558.0,Europe
Russia,18348065.0,4101.0,379445.0,82.0,17760326.0,5132.0,208294.0,2300.0,125625.0,2598.0,273400000.0,1871901.0,146054745.0,Europe
S. Korea,18153851.0,12016.0,24238.0,9.0,17806200.0,35055.0,323413.0,141.0,353504.0,472.0,15804065.0,307748.0,51353999.0,Asia
Italy,17490891.0,22967.0,166922.0,47.0,16681659.0,28948.0,642310.0,218.0,290108.0,2769.0,221741088.0,3677851.0,60290942.0,Europe
Turkey,15072747.0,,98965.0,,14971256.0,,2526.0,975.0,175094.0,1150.0,162743369.0,1890523.0,86083771.0,Asia
Spain,12403245.0,,106797.0,,11832351.0,,464097.0,339.0,265086.0,2282.0,471036328.0,10067119.0,46789588.0,Europe
Vietnam,10724554.0,881.0,43080.0,,9496407.0,9601.0,1185067.0,41.0,108304.0,435.0,85818197.0,866655.0,99022312.0,Asia
Argentina,9230573.0,,128889.0,,8895999.0,,205685.0,300.0,200695.0,2802.0,35716069.0,776553.0,45993079.0,South America
Japan,8913027.0,19552.0,30712.0,35.0,8659698.0,32933.0,222617.0,84.0,70889.0,244.0,53157546.0,422783.0,125732317.0,Asia
Netherlands,8090237.0,,22325.0,,8032403.0,,35509.0,34.0,470151.0,1297.0,21107399.0,1226621.0,17207753.0,Europe
Australia,7404766.0,27234.0,8722.0,60.0,7146454.0,31746.0,249590.0,84.0,284048.0,335.0,72219812.0,2770367.0,26068678.0,Australia/Oceania
Iran,7232678.0,64.0,141328.0,7.0,7054592.0,1103.0,36758.0,470.0,84043.0,1642.0,52298398.0,607699.0,86059715.0,Asia
Colombia,6109105.0,,139867.0,,5938448.0,,30790.0,342.0,117651.0,2694.0,35041646.0,674844.0,51925531.0,South America
Indonesia,6056412.0,395.0,156610.0,6.0,5896548.0,258.0,3254.0,2771.0,21701.0,561.0,99056678.0,354935.0,279084067.0,Asia
Poland,6008550.0,254.0,116349.0,11.0,5335495.0,31.0,556706.0,408.0,159096.0,3081.0,36374276.0,963125.0,37766938.0,Europe
Mexico,5785945.0,3540.0,324986.0,20.0,5069041.0,1450.0,391918.0,4798.0,43987.0,2471.0,16005640.0,121682.0,131536982.0,North America
Ukraine,5011433.0,,108538.0,,,,,177.0,115928.0,2511.0,19521252.0,451579.0,43228843.0,Europe
Malaysia,4513631.0,1591.0,35686.0,5.0,4455498.0,2185.0,22447.0,27.0,136104.0,1076.0,60117956.0,1812791.0,33163210.0,Asia
Thailand,4463557.0,3001.0,30146.0,30.0,4399358.0,3813.0,34053.0,1496.0,63641.0,430.0,17270775.0,246245.0,70136665.0,Asia
