"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"234,217",+704,"5,226 ",,"224,323",+98,"4,668",8,163,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"94,678,953","+12,123","1,062,333 ",+31,"89,799,156","+116,245","3,817,464","4,405",,,"1,092,337,695",, ,North America
India,"44,253,464","+14,092","527,037 ",+41,"43,609,566","+16,454","116,861",698,"31,415",374,"879,900,242","624,627","1,408,680,741 ",Asia
France,"34,213,094","+21,175","153,064 ",,"33,379,198","+49,958","680,832",869,"521,710","2,334","271,490,188","4,139,914","65,578,704 ",Europe
Brazil,"34,164,891","+16,760","681,480 ",+163,"32,945,953",,"537,458","8,318","158,352","3,159","63,776,166","295,598","215,752,727 ",South America
Germany,"31,535,343",,"145,698 ",,"30,087,100","+26,100","1,302,545","1,406","373,863","1,727","122,332,384","1,450,294","84,350,046 ",Europe
UK,"23,420,826",,"186,087 ",,"22,987,900","+14,953","246,839",146,"341,214","2,711","522,526,476","7,612,607","68,639,622 ",Europe
Italy,"21,480,076","+24,785","173,982 ",+129,"20,417,972","+51,462","888,122",291,"356,374","2,887","239,857,770","3,979,456","60,274,006 ",Europe
S. Korea,"21,236,355","+124,515","25,566 ",+67,"19,321,265","+99,210","1,889,524",469,"413,461",498,"15,804,065","307,697","51,362,410 ",Asia
Russia,"18,852,976","+28,694","383,071 ",+60,"18,121,135","+16,874","348,770","2,300","129,071","2,623","273,400,000","1,871,748","146,066,672 ",Europe
Turkey,"16,295,817",,"99,678 ",,"15,875,121",,"321,018",975,"188,921","1,156","162,743,369","1,886,721","86,257,245 ",Asia
Japan,"15,278,668","+192,364","34,763 ",+226,"13,205,948","+246,787","2,037,957",625,"121,589",277,"66,464,099","528,926","125,658,593 ",Asia
Spain,"13,294,139",,"111,667 ",,"12,906,369",,"276,103",339,"284,105","2,386","471,036,328","10,066,376","46,793,040 ",Europe
Vietnam,"11,364,356","+1,816","43,097 ",+1,"10,014,637","+5,186","1,306,622",137,"114,572",434,"85,826,548","865,277","99,189,646 ",Asia
Australia,"9,780,286","+20,125","12,828 ",+89,"9,538,095","+27,726","229,363",138,"374,362",491,"77,293,585","2,958,578","26,125,245 ",Australia/Oceania
Argentina,"9,629,270","+4,456","129,548 ",+18,"9,360,235","+5,962","139,487",456,"209,003","2,812","35,716,069","775,217","46,072,321 ",South America
Netherlands,"8,362,564",,"22,542 ",,"8,238,114",,"101,908",58,"485,772","1,309","21,107,399","1,226,106","17,214,983 ",Europe
Iran,"7,468,894","+3,315","142,861 ",+55,"7,161,583","+10,714","164,450","1,452","86,580","1,656","53,492,475","620,092","86,265,323 ",Asia
