"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"229,913",+111,"5,226 ",,"223,139",+130,"1,548",2,160,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"93,777,401","+109,679","1,058,237 ",+397,"88,700,964","+105,491","4,018,200","4,717",,,"1,074,632,797",, ,North America
India,"44,107,588","+20,551","526,600 ",+70,"43,445,624","+21,595","135,364",698,"31,319",374,"876,760,536","622,546","1,408,347,378 ",Asia
France,"33,993,930","+33,799","152,457 ",+87,"32,666,531","+22,937","1,174,942",869,"518,396","2,325","271,490,188","4,140,138","65,575,162 ",Europe
Brazil,"33,964,494","+37,166","679,594 ",+258,"32,643,157","+57,063","641,743","8,318","157,450","3,150","63,776,166","295,649","215,715,629 ",South America
Germany,"31,178,705","+59,506","144,717 ",+165,"29,365,500","+105,700","1,668,488","1,445","369,664","1,716","122,332,384","1,450,407","84,343,475 ",Europe
UK,"23,368,899",,"185,052 ",,"22,783,092","+25,315","400,755",146,"340,501","2,696","522,526,476","7,613,578","68,630,871 ",Europe
Italy,"21,213,559","+42,959","172,729 ",+161,"19,865,536","+68,947","1,175,294",392,"351,939","2,866","238,136,571","3,950,757","60,276,183 ",Europe
S. Korea,"20,160,154","+107,849","25,144 ",+34,"18,736,647","+40,316","1,398,363",310,"392,516",490,"15,804,065","307,704","51,361,329 ",Asia
Russia,"18,653,867","+17,126","382,604 ",+44,"18,010,066","+9,752","261,197","2,300","127,709","2,619","273,400,000","1,871,768","146,065,139 ",Europe
Turkey,"15,889,495",,"99,341 ",,"15,487,468",,"302,686",975,"184,258","1,152","162,743,369","1,887,209","86,234,941 ",Asia
Japan,"13,344,898","+231,597","32,976 ",+157,"11,397,919","+180,308","1,914,003",516,"106,192",262,"63,817,464","507,826","125,668,072 ",Asia
Spain,"13,259,454","+6,729","110,967 ",+127,"12,743,127","+17,828","405,360",339,"283,366","2,371","471,036,328","10,066,471","46,792,596 ",Europe
Vietnam,"11,189,969","+2,013","43,094 ",,"9,948,174","+7,712","1,198,701",112,"112,838",435,"85,826,548","865,465","99,168,131 ",Asia
Argentina,"9,560,307",,"129,369 ",,"9,308,132","+5,665","122,806",456,"207,552","2,809","35,716,069","775,389","46,062,132 ",South America
Australia,"9,554,404","+37,292","12,119 ",+93,"9,224,255","+46,542","318,030",161,"365,817",464,"76,658,696","2,935,094","26,117,972 ",Australia/Oceania
Netherlands,"8,347,290","+2,433","22,509 ",+3,"8,188,142","+6,655","136,639",54,"484,911","1,308","21,107,399","1,226,173","17,214,053 ",Europe
Iran,"7,426,030","+7,415","142,290 ",+81,"7,091,232","+3,954","192,508","1,398","86,110","1,650","53,322,294","618,309","86,238,888 ",Asia
Mexico,"6,803,190","+20,210","328,006 ",+123,"5,964,137","+23,913","511,047","4,798","51,632","2,489","17,748,050","134,697","131,762,611 ",North America
Colombia,"6,278,998","+1,890","141,075 ",+39,"6,096,946","+2,474","40,977",342,"120,713","2,712","36,086,570","693,761","52,015,868 ",South America
Indonesia,"6,229,315","+6,527","157,060 ",+14,"6,021,549","+6,664","50,706","2,771","22,282",562,"103,952,029","371,834","279,565,830 ",Asia
Poland,"6,084,871","+4,476","116,628 ",+20,"5,335,855",+5,"632,388","2,389","161,146","3,089","36,698,610","971,890","37,760,056 ",Europe
Portugal,"5,356,285","+3,182","24,656 ",+11,"5,209,896","+9,405","121,733",61,"528,513","2,433","43,527,258","4,294,902","10,134,633 ",Europe
Ukraine,"5,026,496",+398,"108,727 ",+2,"4,911,312",+150,"6,457",177,"116,394","2,518","19,521,252","452,035","43,185,283 ",Europe
