"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"222,130",+175,"5,214 ",+1,"211,557",+476,"5,359",343,154,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"84,588,748","+97,438","1,027,741 ",+373,"81,382,379","+51,750","2,178,628","2,098","252,776","3,071","1,019,232,166","3,045,768","334,638,797 ",North America
India,"43,127,199","+1,829","524,293 ",+33,"42,587,259","+2,549","15,647",698,"30,686",373,"844,491,640","600,882","1,405,421,194 ",Asia
Brazil,"30,728,286","+26,386","665,277 ",+221,"29,746,640",,"316,369","8,318","142,663","3,089","63,776,166","296,096","215,389,991 ",South America
France,"29,233,309","+43,727","147,568 ",+90,"28,335,646","+67,585","750,095","1,329","446,010","2,251","271,490,188","4,142,101","65,544,076 ",Europe
Germany,"25,892,255","+82,591","138,183 ",+176,"24,155,900","+141,900","1,598,172","1,279","307,196","1,639","122,332,384","1,451,400","84,285,800 ",Europe
UK,"22,207,102","+7,099","177,410 ",,"21,755,615","+21,253","274,077",189,"323,936","2,588","519,264,096","7,574,521","68,554,055 ",Europe
Russia,"18,268,958","+4,122","377,869 ",+110,"17,658,542","+5,984","232,547","2,300","125,086","2,587","273,400,000","1,871,940","146,051,678 ",Europe
S. Korea,"17,830,429","+35,072","23,771 ",+27,"17,170,872","+50,516","635,786",333,"347,221",463,"15,804,065","307,760","51,351,836 ",Asia
Italy,"17,117,069","+45,008","165,494 ",+148,"15,983,655","+59,720","967,920",337,"283,887","2,745","218,293,677","3,620,410","60,295,297 ",Europe
Turkey,"15,057,184","+1,608","98,911 ",+7,"14,955,005","+1,219","3,268",975,"175,004","1,150","161,010,744","1,871,366","86,039,163 ",Asia
Spain,"12,179,234","+13,028","105,642 ",+48,"11,588,576","+10,620","485,016",339,"260,303","2,258","471,036,328","10,067,309","46,788,701 ",Europe
Vietnam,"10,699,965","+1,785","43,071 ",+4,"9,364,857","+5,094","1,292,037",206,"108,103",435,"85,812,322","866,973","98,979,283 ",Asia
Argentina,"9,135,308",,"128,776 ",,"8,895,999",,"110,533",300,"198,712","2,801","35,716,069","776,897","45,972,702 ",South America
Japan,"8,399,390","+26,334","30,089 ",+28,"8,015,458","+35,829","353,843",127,"66,794",239,"50,658,025","402,843","125,751,275 ",Asia
Netherlands,"8,071,521","+1,252","22,297 ",+3,"7,999,615","+2,838","49,609",43,"469,114","1,296","21,107,399","1,226,754","17,205,893 ",Europe
Iran,"7,228,786",+352,"141,236 ",+4,"7,024,787","+1,876","62,763",768,"84,049","1,642","51,771,715","601,949","86,006,844 ",Asia
Australia,"6,703,295","+67,650","7,873 ",+66,"6,313,350","+73,403","382,072",130,"257,283",302,"70,751,949","2,715,575","26,054,132 ",Australia/Oceania
Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666",342,"117,446","2,694","34,675,581","668,137","51,898,874 ",South America
Indonesia,"6,051,205",+247,"156,481 ",+17,"5,890,826","+1,029","3,898","2,771","21,693",561,"97,570,814","349,789","278,941,908 ",Asia
Poland,"6,004,039",+510,"116,217 ",+10,"5,335,143",+18,"552,679",981,"158,968","3,077","36,239,466","959,504","37,768,969 ",Europe
Mexico,"5,752,441",+862,"324,617 ",+6,"5,050,420","+1,181","377,404","4,798","43,755","2,469","15,897,804","120,923","131,470,403 ",North America
Ukraine,"5,009,301",,"108,497 ",,N/A,N/A,N/A,177,"115,844","2,509","19,521,252","451,445","43,241,697 ",Europe
Malaysia,"4,481,278","+1,469","35,623 ",+3,"4,415,146","+1,836","30,509",36,"135,211","1,075","59,379,893","1,791,637","33,142,816 ",Asia
Thailand,"4,382,977","+3,893","29,553 ",+38,"4,290,090","+7,323","63,334","1,496","62,500",421,"17,270,775","246,275","70,128,075 ",Asia
Austria,"4,218,059","+2,909","18,312 ",+9,"4,145,947","+5,155","53,800",58,"463,387","2,012","185,625,927","20,392,479","9,102,666 ",Europe
Belgium,"4,127,123",,"31,656 ",,"3,961,954","+13,915","133,513",105,"353,225","2,709","33,906,863","2,901,963","11,684,111 ",Europe
