"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"250,449",+156,"5,226 ",,"242,254",+184,"2,969",36,173,4,"160,000,000","110,461","1,448,471,400 ",Asia
USA,"98,232,374","+28,480","1,084,828 ",+198,"95,042,116","+81,033","2,105,430","2,970","293,402","3,240","1,118,468,562","3,340,654","334,805,269 ",North America
India,"44,591,112","+3,805","528,655 ",+26,"44,024,164","+5,069","38,293",698,"31,701",376,"894,416,853","635,857","1,406,631,776 ",Asia
France,"35,391,211","+48,261","155,112 ",+34,"34,546,632","+19,484","689,467",869,"539,628","2,365","271,490,188","4,139,547","65,584,518 ",Europe
Brazil,"34,715,149","+8,392","686,097 ",+70,"33,853,693","+15,057","175,359","8,318","161,201","3,186","63,776,166","296,146","215,353,593 ",South America
Germany,"33,386,229","+73,856","150,064 ",+116,"32,315,200","+31,000","920,965","1,406","398,007","1,789","122,332,384","1,458,359","83,883,596 ",Europe
S. Korea,"24,769,101","+28,466","28,406 ",+42,"24,013,461","+36,892","727,234",352,"482,547",553,"15,804,065","307,892","51,329,899 ",Asia
UK,"23,672,855",,"190,317 ",,"23,351,186","+6,971","131,352",146,"345,600","2,778","522,526,476","7,628,357","68,497,907 ",Europe
Italy,"22,467,278","+34,475","177,092 ",+38,"21,848,242","+68,638","441,944",136,"372,822","2,939","246,819,554","4,095,722","60,262,770 ",Europe
Japan,"21,265,862","+36,646","44,789 ",+111,"20,381,524","+1,435","839,549",178,"169,335",357,"76,201,407","606,772","125,584,838 ",Asia
Russia,"20,985,756","+37,286","387,269 ",+106,"20,040,988","+61,225","557,499","2,300","143,929","2,656","273,400,000","1,875,095","145,805,947 ",Europe
Turkey,"16,873,793",,"101,139 ",,"16,754,301","+3,058","18,353",975,"197,211","1,182","162,743,369","1,902,052","85,561,976 ",Asia
Spain,"13,422,984","+3,573","114,179 ",+31,"13,225,964","+2,358","82,841",339,"287,312","2,444","471,036,328","10,082,298","46,719,142 ",Europe
Vietnam,"11,479,357","+1,471","43,148 ",,"10,591,865",+948,"844,344",107,"116,008",436,"85,826,548","867,342","98,953,541 ",Asia
Australia,"10,239,574","+5,559","15,207 ",+39,"10,172,662","+4,659","51,705",43,"392,791",583,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania
Argentina,"9,708,420",,"129,897 ",,"9,563,348","+1,128","15,175",294,"211,006","2,823","35,716,069","776,264","46,010,234 ",South America
Netherlands,"8,430,861","+3,070","22,650 ",+2,"8,363,659","+2,481","44,552",45,"489,840","1,316","21,107,399","1,226,358","17,211,447 ",Europe
Iran,"7,548,648",+328,"144,426 ",+5,"7,325,651",+281,"78,571",151,"87,752","1,679","54,095,556","628,851","86,022,837 ",Asia
Mexico,"7,087,812","+3,324","330,101 ",+36,"6,356,554","+2,601","401,157","4,798","53,874","2,509","18,393,211","139,806","131,562,772 ",North America
Taiwan,"6,461,337","+43,442","11,053 ",+50,"5,639,002","+35,754","811,282",,"270,478",463,"26,060,690","1,090,926","23,888,595 ",Asia
Indonesia,"6,431,624","+1,857","158,112 ",+19,"6,255,918","+2,601","17,594","2,771","23,041",566,"108,723,455","389,502","279,134,505 ",Asia
Colombia,"6,307,372",,"141,794 ",,"6,134,690",,"30,888",342,"122,443","2,753","36,572,720","709,974","51,512,762 ",South America
Poland,"6,293,555","+3,887","117,569 ",+30,"5,335,940",,"840,046","3,086","166,762","3,115","37,350,807","989,693","37,739,785 ",Europe
Portugal,"5,493,540","+2,901","25,031 ",+7,"5,397,450","+1,728","71,059",61,"541,739","2,468","44,988,307","4,436,467","10,140,570 ",Europe
Ukraine,"5,177,217",,"109,206 ",,"4,973,554",,"94,457",177,"119,865","2,528","19,521,252","451,963","43,192,122 ",Europe
Austria,"5,131,842","+13,010","20,743 ",+5,"5,011,540","+4,968","99,559",47,"566,009","2,288","197,642,565","21,798,708","9,066,710 ",Europe
Greece,"4,920,192",,"33,111 ",,"4,836,903","+5,201","50,178",115,"476,918","3,209","94,139,966","9,125,063","10,316,637 ",Europe
Malaysia,"4,840,879","+2,007","36,374 ",+5,"4,778,736","+1,407","25,769",42,"145,893","1,096","64,636,273","1,947,986","33,181,072 ",Asia
Thailand,"4,681,309",+839,"32,767 ",+9,"4,642,083",+733,"6,459","1,496","66,801",468,"17,270,775","246,450","70,078,203 ",Asia
Israel,"4,662,579","+1,483","11,698 ",,"4,643,014","+1,620","7,867",101,"499,955","1,254","41,373,364","4,436,346","9,326,000 ",Asia
Chile,"4,624,307","+3,930","61,154 ",+13,"4,548,348","+7,462","14,805",123,"240,221","3,177","45,173,079","2,346,630","19,250,195 ",South America
Belgium,"4,544,505",,"32,673 ",,"4,453,482","+3,826","58,350",46,"389,475","2,800","35,555,508","3,047,194","11,668,278 ",Europe
Canada,"4,233,468",,"44,992 ",,"4,131,367","+2,978","57,109",99,"110,280","1,172","64,928,884","1,691,366","38,388,419 ",North America
Peru,"4,144,416",+547,"216,575 ",+27,"3,915,457",+846,"12,384",145,"123,037","6,430","35,176,534","1,044,303","33,684,208 ",South America
Czechia,"4,104,187","+3,670","41,096 ",+5,"4,039,496","+4,281","23,595",46,"382,255","3,828","56,226,695","5,236,828","10,736,784 ",Europe
Switzerland,"4,084,307",,"14,183 ",,"4,012,833","+3,339","57,291",54,"465,520","1,617","22,318,542","2,543,819","8,773,637 ",Europe
South Africa,"4,019,077",+308,"102,185 ",,"3,909,265",,"7,627",192,"66,151","1,682","26,174,429","430,811","60,756,135 ",Africa
Philippines,"3,947,944","+2,393","62,947 ",+31,"3,855,975","+1,497","29,022",668,"35,090",559,"32,817,225","291,685","112,508,994 ",Asia
Romania,"3,268,562","+1,192","67,022 ",+6,"3,182,092","+1,955","19,448",132,"171,746","3,522","25,109,223","1,319,362","19,031,335 ",Europe
