"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"228,180",+200,"5,226 ",,"221,339",+69,"1,615",,159,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"92,039,374","+127,964","1,051,591 ",+340,"87,107,075","+107,436","3,880,708","4,501",,,"1,064,505,571",, ,North America
India,"43,847,065","+21,880","525,930 ",+60,"43,171,653","+21,219","149,482",698,"31,145",374,"871,160,846","618,797","1,407,828,814 ",Asia
Brazil,"33,506,282","+51,988","676,551 ",+271,"31,846,441","+40,150","983,290","8,318","155,368","3,137","63,776,166","295,728","215,657,921 ",South America
France,"33,339,350","+80,869","151,237 ",+133,"31,057,821","+124,941","2,130,292",869,"508,457","2,307","271,490,188","4,140,485","65,569,653 ",Europe
Germany,"30,239,122","+107,819","143,061 ",+113,"28,114,300","+98,100","1,981,761","1,325","358,567","1,696","122,332,384","1,450,583","84,333,254 ",Europe
UK,"23,212,565",,"182,727 ",,"22,437,189","+19,572","592,649",146,"338,290","2,663","522,526,476","7,615,088","68,617,258 ",Europe
Italy,"20,467,941","+81,245","170,527 ",+157,"18,841,001","+84,933","1,456,413",410,"339,550","2,829","234,264,775","3,886,305","60,279,570 ",Europe
S. Korea,"19,009,080","+71,109","24,794 ",+17,"18,364,834","+10,047","619,452",107,"370,117",483,"15,804,065","307,714","51,359,646 ",Asia
Russia,"18,511,120","+6,391","382,039 ",+42,"17,924,372","+4,529","204,709","2,300","126,734","2,616","273,400,000","1,871,798","146,062,753 ",Europe
Turkey,"15,524,071",,"99,184 ",,"15,221,506",,"203,381",975,"180,093","1,151","162,743,369","1,887,969","86,200,247 ",Asia
Spain,"13,180,629","+24,235","110,006 ",+182,"12,478,511","+12,377","592,112",339,"281,686","2,351","471,036,328","10,066,620","46,791,906 ",Europe
Vietnam,"10,764,986","+1,292","43,091 ",,"9,837,645","+4,999","884,250",31,"108,590",435,"85,826,548","865,757","99,134,665 ",Asia
Japan,"10,604,679","+135,239","31,697 ",+54,"9,732,623","+72,691","840,359",189,"84,377",252,"59,756,095","475,452","125,682,816 ",Asia
Argentina,"9,465,827",,"129,202 ",,"9,245,728","+3,879","90,897",393,"205,572","2,806","35,716,069","775,656","46,046,284 ",South America
Australia,"8,967,138","+54,989","10,968 ",+89,"8,593,214","+46,325","362,956",162,"343,481",420,"75,497,967","2,891,905","26,106,659 ",Australia/Oceania
Netherlands,"8,301,271","+4,494","22,450 ",+4,"8,114,825","+4,787","163,996",50,"482,279","1,304","21,107,399","1,226,276","17,212,607 ",Europe
Iran,"7,304,550","+7,915","141,593 ",+29,"7,071,005",+626,"91,952",728,"84,742","1,643","52,690,831","611,278","86,197,766 ",Asia
Mexico,"6,523,019","+34,661","326,764 ",+107,"5,597,744","+27,633","598,511","4,798","49,525","2,481","17,311,043","131,432","131,710,827 ",North America
Colombia,"6,247,634","+3,449","140,603 ",+34,"6,053,853","+3,150","53,178",342,"120,158","2,704","35,781,769","688,175","51,995,135 ",South America
Indonesia,"6,154,494","+5,410","156,880 ",+5,"5,960,833","+2,925","36,781","2,771","22,023",561,"102,562,428","367,008","279,455,262 ",Asia
Poland,"6,041,885","+2,993","116,492 ",+6,"5,335,793",+6,"589,600","1,157","160,001","3,085","36,585,593","968,856","37,761,635 ",Europe
Portugal,"5,312,553","+5,412","24,513 ",+10,"5,082,292","+13,283","205,748",61,"524,139","2,418","43,527,258","4,294,423","10,135,765 ",Europe
Ukraine,"5,021,612",+190,"108,699 ",+1,"4,909,008",+335,"3,905",177,"116,254","2,516","19,521,252","451,930","43,195,280 ",Europe
DPRK,"4,772,290",+170,74 ,,"4,771,860",+310,356,,"183,476",3,,,"26,010,472 ",Asia
Austria,"4,658,125","+14,070","18,987 ",+16,"4,510,463","+10,880","128,675",80,"511,220","2,084","192,634,445","21,141,264","9,111,775 ",Europe
Malaysia,"4,640,235","+4,587","35,888 ",+10,"4,556,938","+2,652","47,409",63,"139,697","1,080","61,978,267","1,865,890","33,216,460 ",Asia
Thailand,"4,568,461","+2,607","31,076 ",+23,"4,513,943","+2,318","23,442","1,496","65,116",443,"17,270,775","246,166","70,159,093 ",Asia
Israel,"4,537,907","+6,217","11,209 ",+1,"4,457,705","+4,089","68,993",310,"486,587","1,202","41,373,364","4,436,346","9,326,000 ",Asia
Belgium,"4,381,331","+4,240","32,118 ",+9,"4,165,256","+2,330","183,957",114,"374,695","2,747","34,887,878","2,983,643","11,693,048 ",Europe
Taiwan,"4,362,196","+25,140","8,392 ",+74,"3,794,711","+35,723","559,093",,"182,479",351,"22,236,854","930,212","23,905,158 ",Asia
Greece,"4,210,771",,"30,707 ",,"3,614,441",,"565,623",115,"408,072","2,976","87,638,663","8,493,185","10,318,704 ",Europe
Chile,"4,161,478","+9,003","59,216 ",+70,"3,846,961","+4,886","255,301",174,"213,928","3,044","41,539,472","2,135,408","19,452,712 ",South America
Canada,"4,012,359",,"43,583 ",,"3,695,850",,"272,926",195,"104,432","1,134","62,586,673","1,628,980","38,420,783 ",North America
South Africa,"4,001,816",+372,"101,942 ",+3,"3,893,872",+280,"6,002",192,"65,774","1,676","25,913,254","425,909","60,842,253 ",Africa
Czechia,"3,961,579","+2,758","40,376 ",+6,"3,902,942",+352,"18,261",27,"368,529","3,756","55,662,057","5,178,003","10,749,715 ",Europe
Switzerland,"3,893,084",,"14,024 ",,"3,691,121","+1,846","187,939",54,"443,181","1,596","21,598,881","2,458,773","8,784,414 ",Europe
Peru,"3,801,893","+14,006","213,918 ",+24,"3,448,791","+6,322","139,184",161,"112,105","6,308","32,548,901","959,753","33,913,823 ",South America
Philippines,"3,741,986","+2,827","60,641 ",,"3,659,139","+1,298","22,206",560,"33,241",539,"31,245,239","277,557","112,572,259 ",Asia
Denmark,"3,049,890","+1,683","6,581  ",+10,"3,019,084","+1,990","24,225",14,"522,776","1,128","127,888,446","21,921,131","5,834,026 ",Europe
Romania,"2,988,788","+7,129","65,839 ",+2,"2,861,372",,"61,577",155,"157,514","3,470","23,826,769","1,255,713","18,974,690 ",Europe
Sweden,"2,533,978",,"19,216 ",,"2,495,909","+1,075","18,853",14,"247,739","1,879","18,731,976","1,831,369","10,228,400 ",Europe
Iraq,"2,421,716","+3,997","25,280 ",+3,"2,360,420","+3,119","36,016",24,"57,559",601,"18,985,439","451,244","42,073,552 ",Asia
Serbia,"2,072,089","+4,249","16,193 ",+8,"2,015,735","+2,501","40,161",19,"239,127","1,869","10,094,224","1,164,911","8,665,234 ",Europe
Bangladesh,"2,000,279",+884,"29,256 ",+6,"1,931,494","+1,602","39,529","1,228","11,903",174,"14,538,033","86,508","168,054,247 ",Asia
Hungary,"1,951,079",,"46,736 ",,"1,883,085",,"21,258",17,"203,024","4,863","11,394,556","1,185,689","9,610,069 ",Europe
Slovakia,"1,809,403","+1,016","20,188 ",+5,"1,778,871",+666,"10,344",26,"331,085","3,694","7,208,018","1,318,927","5,465,064 ",Europe
Jordan,"1,700,526",,"14,068 ",,"1,685,354",,"1,104",124,"163,342","1,351","16,894,012","1,622,730","10,410,861 ",Asia
Georgia,"1,675,265",,"16,854 ",,"1,637,293",,"21,118",,"421,613","4,242","16,920,079","4,258,263","3,973,470 ",Asia
Singapore,"1,636,109","+9,749","1,466 ",+3,"1,528,441","+6,724","106,202",15,"275,222",247,"24,107,231","4,055,250","5,944,697 ",Asia
Ireland,"1,628,745",,"7,537 ",,"1,569,062","+2,739","52,146",42,"322,466","1,492","12,508,154","2,476,419","5,050,903 ",Europe
Pakistan,"1,548,394",+599,"30,455 ",+3,"1,507,935",+265,"10,004",170,"6,741",133,"29,356,674","127,811","229,688,733 ",Asia
New Zealand,"1,540,509","+10,323","1,868 ",+31,"1,472,149","+11,684","66,492",,"307,972",373,"7,350,659","1,469,515","5,002,100 ",Australia/Oceania
Norway,"1,453,985",+271,"3,596 ",,"1,445,611",+436,"4,778",20,"263,969",653,"11,002,430","1,997,474","5,508,172 ",Europe
Kazakhstan,"1,323,710","+1,216","13,664 ",,"1,297,761","+1,564","12,285",24,"68,809",710,"11,575,012","601,696","19,237,318 ",Asia
Hong Kong,"1,309,208","+4,375","9,448 ",+3,"1,212,363","+1,226","87,397",5,"171,773","1,240","50,415,048","6,614,662","7,621,712 ",Asia
Morocco,"1,255,681","+1,131","16,204 ",+6,"1,228,339","+1,666","11,138",293,"33,212",429,"12,148,796","321,330","37,807,793 ",Africa
Bulgaria,"1,192,284","+1,640","37,319 ",+6,"1,138,566",+661,"16,399",41,"174,279","5,455","10,207,607","1,492,066","6,841,255 ",Europe
Croatia,"1,173,374","+1,793","16,188 ",+7,"1,146,221","+1,197","10,965",15,"289,480","3,994","5,012,871","1,236,713","4,053,383 ",Europe
Finland,"1,171,034",,"5,012 ",,"1,128,585",,"37,437",21,"210,680",902,"11,129,795","2,002,350","5,558,367 ",Europe
Lebanon,"1,150,424","+2,843","10,499 ",+3,"1,087,587",,"52,338",186,"170,111","1,552","4,795,578","709,112","6,762,797 ",Asia
Tunisia,"1,114,370",,"28,942 ",,N/A,N/A,N/A,29,"92,309","2,397","4,803,289","397,879","12,072,236 ",Africa
Cuba,"1,107,100",+95,"8,529 ",,"1,098,175",+77,396,23,"97,866",754,"13,997,964","1,237,395","11,312,443 ",North America
Lithuania,"1,077,494",+883,"9,196 ",+3,"1,038,300",,"29,998",8,"407,450","3,477","10,036,833","3,795,387","2,644,482 ",Europe
Slovenia,"1,067,359","+1,870","6,676 ",+6,"1,039,796","+1,635","20,887",16,"513,271","3,210","2,696,528","1,296,704","2,079,524 ",Europe
Guatemala,"1,004,311","+6,331","18,881 ",+21,"910,145","+5,834","75,285",5,"54,009","1,015","5,209,636","280,160","18,595,237 ",North America
Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,268",754,"13,646,641","1,445,167","9,442,951 ",Europe
Bolivia,"985,630","+5,892","21,999 ",+8,"910,049","+1,239","53,582",220,"82,139","1,833","2,705,422","225,460","11,999,579 ",South America
Nepal,"982,719",+317,"11,954 ",,"968,228",+56,"2,537",,"32,528",396,"5,793,443","191,762","30,211,573 ",Asia
UAE,"978,966","+1,388","2,329 ",+1,"958,728","+1,282","17,909",,"96,588",230,"175,105,328","17,276,481","10,135,474 ",Asia
Uruguay,"967,808",,"7,387 ",,"958,402",,"2,019",18,"276,642","2,112","6,114,822","1,747,884","3,498,415 ",South America
Ecuador,"946,487","+3,203","35,786 ",+4,"879,898","+1,733","30,803",759,"52,026","1,967","2,470,170","135,780","18,192,499 ",South America
Panama,"942,083",,"8,395 ",,"922,313",,"11,375",16,"211,511","1,885","6,695,106","1,503,144","4,454,067 ",North America
Mongolia,"934,357","+1,116","2,179 ",,N/A,N/A,N/A,192,"275,901",643,"4,030,048","1,190,012","3,386,562 ",Asia
Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,377","1,643","4,659,757","897,918","5,189,514 ",North America
Latvia,"851,433","+1,631","5,879 ",,"833,382",+691,"12,172",1,"461,864","3,189","7,381,884","4,004,335","1,843,473 ",Europe
Saudi Arabia,"806,401",+522,"9,236 ",+3,"789,766",+574,"7,399",139,"22,446",257,"43,762,431","1,218,134","35,925,805 ",Asia
Azerbaijan,"795,495",+305,"9,729 ",+2,"784,356",+175,"1,410",,"77,034",942,"7,011,596","678,984","10,326,594 ",Asia
Paraguay,"699,308","+1,748","19,139 ",+10,"660,663","+2,208","19,506",6,"95,636","2,617","2,646,163","361,882","7,312,220 ",South America
Sri Lanka,"664,704",+57,"16,535 ",+2,"647,466",+3,703,,"30,777",766,"6,486,117","300,320","21,597,349 ",Asia
Bahrain,"653,447",+920,"1,506 ",,"642,249","+1,574","9,692",19,"358,471",826,"10,134,436","5,559,595","1,822,873 ",Asia
Kuwait,"652,541",+365,"2,559 ",,"646,175",+303,"3,807",2,"148,301",582,"8,273,469","1,880,292","4,400,099 ",Asia
Dominican Republic,"624,167",,"4,383 ",,"616,402",,"3,382",23,"56,379",396,"3,566,351","322,134","11,071,003 ",North America
Myanmar,"613,887",+16,"19,434 ",,"592,774",+8,"1,679",,"11,130",352,"8,479,903","153,739","55,157,786 ",Asia
Palestine,"592,699",,"5,360 ",,"582,977",,"4,362",17,"110,896","1,003","3,078,533","576,006","5,344,618 ",Asia
Estonia,"584,178",,"2,612 ",,"524,225",,"57,341",6,"439,773","1,966","3,429,748","2,581,934","1,328,364 ",Europe
Cyprus,"545,896",,"1,086 ",,"124,370",,"420,440",60,"445,490",886,"9,477,138","7,734,021","1,225,383 ",Asia
Venezuela,"531,657",+563,"5,753 ",,"522,054",+328,"3,850",36,"18,806",203,"3,359,014","118,816","28,270,785 ",South America
Moldova,"520,321",,"11,567 ",,"504,142",,"4,612",49,"129,603","2,881","3,216,305","801,123","4,014,744 ",Europe
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,851",232,"3,693,367","34,747","106,292,811 ",Africa
Libya,"502,642",,"6,431 ",,"490,973",,"5,238",101,"71,166",911,"2,477,219","350,736","7,062,919 ",Africa
Ethiopia,"491,508",+99,"7,564 ",+1,"468,421",+29,"15,523",41,"4,069",63,"5,115,781","42,348","120,803,586 ",Africa
Honduras,"434,796",+482,"10,930 ",+4,"132,498",,"291,368",105,"42,512","1,069","1,429,390","139,757","10,227,680 ",North America
Réunion,"429,237",,825 ,,"418,572",,"9,840",10,"472,512",908,"1,603,660","1,765,339","908,415 ",Africa
Armenia,"424,400",,"8,629 ",,"412,661",,"3,110",,"142,675","2,901","3,109,931","1,045,496","2,974,599 ",Asia
Qatar,"399,553",+995,680 ,,"390,408",+772,"8,465",2,"142,301",242,"3,714,907","1,323,064","2,807,805 ",Asia
Oman,"393,002",,"4,260 ",,"384,669",,"4,073",2,"73,144",793,"25,000,000","4,652,917","5,372,973 ",Asia
Bosnia and Herzegovina,"382,382",+400,"15,825 ",,N/A,N/A,N/A,,"118,056","4,886","1,806,332","557,683","3,238,996 ",Europe
Kenya,"337,085",+80,"5,670 ",,"330,261",+68,"1,154",3,"5,998",101,"3,804,085","67,688","56,200,364 ",Africa
Zambia,"328,550",,"4,013 ",,"323,022",,"1,515",4,"16,901",206,"3,608,029","185,600","19,439,819 ",Africa
Botswana,"325,181",+340,"2,763 ",+3,"321,815",+791,603,1,"132,781","1,128","2,026,898","827,641","2,449,005 ",Africa
North Macedonia,"321,386",+788,"9,349 ",+4,"308,199",+541,"3,838",,"154,275","4,488","2,088,126","1,002,365","2,083,199 ",Europe
Albania,"301,394","+1,336","3,521 ",,"288,047","+1,029","9,826",,"104,966","1,226","1,866,752","650,129","2,871,355 ",Europe
Luxembourg,"274,524",,"1,102 ",,"259,768",,"13,654",,"424,392","1,704","4,349,750","6,724,366","646,864 ",Europe
Algeria,"266,654",+63,"6,875 ",,"178,911",+47,"80,868",6,"5,864",151,"230,861","5,077","45,474,993 ",Africa
Nigeria,"259,720",+235,"3,146 ",,"253,074",+37,"3,500",11,"1,199",15,"5,356,770","24,729","216,617,544 ",Africa
Zimbabwe,"256,217",+17,"5,570 ",+2,"250,112",+12,535,12,"16,739",364,"2,436,185","159,159","15,306,656 ",Africa
Montenegro,"250,173",+869,"2,736 ",+1,"242,410",+461,"5,027",6,"398,219","4,355","2,523,803","4,017,330","628,229 ",Europe
Uzbekistan,"242,502",+65,"1,637 ",,"239,417",+81,"1,448",23,"7,036",47,"1,377,915","39,981","34,463,998 ",Asia
Mozambique,"229,252",+92,"2,215 ",,"226,593",+36,444,11,"6,936",67,"1,362,541","41,225","33,051,250 ",Africa
Martinique,"211,836",,"1,005 ",,104,,"210,727",8,"565,397","2,682","828,928","2,212,433","374,668 ",North America
Laos,"210,676",+38,757 ,,N/A,N/A,N/A,,"28,120",101,"1,233,207","164,601","7,492,081 ",Asia
Kyrgyzstan,"201,329",,"2,991 ",,"196,406",,"1,932",131,"29,849",443,"1,907,195","282,759","6,744,949 ",Asia
Iceland,"200,883",+244,179 ,,N/A,N/A,N/A,2,"580,949",518,"1,981,163","5,729,481","345,784 ",Europe
Brunei ,"191,774","+1,871",225 ,,"164,116",,"27,433",,"429,919",504,"717,784","1,609,129","446,070 ",Asia
Afghanistan,"184,275",+201,"7,738 ",,"165,877",+35,"10,660","1,124","4,525",190,"1,018,894","25,018","40,726,320 ",Asia
Maldives,"183,908",,307 ,,"163,687",,"19,914",25,"328,367",548,"2,213,831","3,952,783","560,069 ",Asia
El Salvador,"180,970",,"4,184 ",+3,"165,895",,"10,891",8,"27,615",638,"2,368,512","361,422","6,553,315 ",North America
Guadeloupe,"179,285",,960 ,,"2,250",,"176,075",19,"447,917","2,398","938,039","2,343,551","400,264 ",North America
Trinidad and Tobago,"169,805",+224,"4,041 ",+2,"159,640",+147,"6,124",18,"120,533","2,868","786,328","558,162","1,408,780 ",North America
Namibia,"169,253",,"4,065 ",,"164,813",,375,,"64,226","1,543","1,062,663","403,245","2,635,277 ",Africa
Uganda,"168,887",+42,"3,627 ",,"100,420",,"64,840",5,"3,468",74,"2,987,946","61,350","48,703,470 ",Africa
Ghana,"167,215",,"1,456 ",,"165,153",,606,2,"5,160",45,"2,479,277","76,513","32,403,144 ",Africa
Jamaica,"145,157",+160,"3,176 ",+2,"92,784",+111,"49,197",,"48,585","1,063","1,142,202","382,305","2,987,669 ",North America
Cambodia,"136,532",+20,"3,056 ",,"133,352",+18,124,,"7,941",178,"3,008,154","174,959","17,193,499 ",Asia
Rwanda,"131,970",+20,"1,466 ",,"45,522",,"84,982",,"9,696",108,"5,630,294","413,668","13,610,669 ",Africa
Cameroon,"120,068",,"1,931 ",,"117,791",,346,13,"4,303",69,"1,751,774","62,785","27,901,008 ",Africa
Malta,"111,833",+204,780 ,+2,"105,872",+645,"5,181",4,"251,902","1,757","2,005,262","4,516,824","443,954 ",Europe
Angola,"102,209",,"1,912 ",,"97,149",,"3,148",,"2,923",55,"1,499,795","42,897","34,962,923 ",Africa
DRC,"91,928",,"1,390 ",,"50,930",,"39,608",,966,15,"846,704","8,899","95,145,374 ",Africa
French Guiana,"91,812",+891,404 ,+2,"11,254",,"80,154",1,"291,875","1,284","644,972","2,050,401","314,559 ",South America
