"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"229,185",+119,"5,226 ",,"222,163",+119,"1,796",25,159,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"92,955,123","+118,206","1,054,734 ",+352,"87,908,049","+113,384","3,992,340","4,828",,,"1,068,221,242",, ,North America
India,"43,979,730","+20,409","526,258 ",+47,"43,309,484","+22,697","143,988",698,"31,234",374,"874,008,037","620,706","1,408,088,096 ",Asia
Brazil,"33,752,376","+45,307","678,147 ",+276,"32,238,057","+47,696","836,172","8,318","156,488","3,144","63,776,166","295,689","215,686,775 ",South America
France,"33,741,251","+51,594","151,894 ",+112,"31,963,822","+140,894","1,625,535",869,"514,565","2,316","271,490,188","4,140,311","65,572,408 ",Europe
Germany,"30,787,309","+84,798","143,855 ",+153,"28,737,700",,"1,905,754","1,587","365,045","1,706","122,332,384","1,450,495","84,338,365 ",Europe
UK,"23,304,479",,"183,953 ",,"22,613,397","+46,809","507,129",146,"339,596","2,681","522,526,476","7,614,333","68,624,064 ",Europe
Italy,"20,898,388","+60,710","171,638 ",+199,"19,374,092","+88,425","1,352,658",406,"346,701","2,847","236,401,920","3,921,869","60,277,877 ",Europe
S. Korea,"19,535,242","+88,296","24,957 ",+25,"18,486,913","+20,385","1,023,372",196,"380,355",486,"15,804,065","307,709","51,360,488 ",Asia
Russia,"18,565,551","+11,515","382,313 ",+41,"17,958,463","+5,018","224,775","2,300","127,106","2,617","273,400,000","1,871,783","146,063,946 ",Europe
Turkey,"15,889,495",,"99,341 ",,"15,487,468",,"302,686",975,"184,295","1,152","162,743,369","1,887,589","86,217,594 ",Asia
Spain,"13,218,796","+7,784","110,610 ",+108,"12,597,320","+12,947","510,866",339,"282,500","2,364","471,036,328","10,066,546","46,792,251 ",Europe
Japan,"11,888,057","+207,236","32,170 ",+122,"10,380,180","+132,447","1,475,707",346,"94,593",256,"61,692,825","490,890","125,675,444 ",Asia
Vietnam,"10,774,681","+1,699","43,092 ",,"9,888,468","+6,877","843,121",31,"108,669",435,"85,826,548","865,611","99,151,398 ",Asia
Argentina,"9,507,562",,"129,278 ",,"9,274,146","+4,549","104,138",456,"206,443","2,807","35,716,069","775,522","46,054,208 ",South America
Australia,"9,282,006","+46,325","11,512 ",+125,"8,902,574","+52,477","367,920",163,"355,465",441,"76,067,002","2,913,070","26,112,315 ",Australia/Oceania
Netherlands,"8,328,077","+3,680","22,488 ",+5,"8,148,908","+5,773","156,681",60,"483,816","1,306","21,107,399","1,226,224","17,213,330 ",Europe
