"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"248,025",+140,"5,226 ",,"238,711",+298,"4,088",38,171,4,"160,000,000","110,461","1,448,471,400 ",Asia
USA,"97,502,371","+19,840","1,078,656 ",+79,"93,892,046","+100,831","2,531,669","3,329","291,221","3,222","1,110,854,450","3,317,912","334,805,269 ",North America
India,"44,534,188","+5,664","528,337 ",+35,"43,957,929","+4,555","47,922",698,"31,660",376,"890,947,746","633,391","1,406,631,776 ",Asia
France,"34,893,247","+33,162","154,672 ",,"34,324,125","+14,082","414,450",869,"532,035","2,358","271,490,188","4,139,547","65,584,518 ",Europe
Brazil,"34,627,090","+5,609","685,410 ",+60,"33,706,231",,"235,449","8,318","160,792","3,183","63,776,166","296,146","215,353,593 ",South America
Germany,"32,680,355",,"148,933 ",,"31,894,500","+11,800","636,922","1,406","389,592","1,775","122,332,384","1,458,359","83,883,596 ",Europe
S. Korea,"24,359,702","+43,400","27,782 ",+57,"23,114,754","+115,459","1,217,166",516,"474,571",541,"15,804,065","307,892","51,329,899 ",Asia
UK,"23,585,305",,"189,484 ",,"23,293,840","+3,268","101,981",146,"344,322","2,766","522,526,476","7,628,357","68,497,907 ",Europe
Italy,"22,148,935","+17,150","176,546 ",+38,"21,545,438","+15,883","426,951",150,"367,539","2,930","244,800,946","4,062,225","60,262,770 ",Europe
Japan,"20,566,116","+77,804","43,533 ",+186,"19,635,346","+117,079","887,237",309,"163,763",347,"74,962,090","596,904","125,584,838 ",Asia
Russia,"20,382,344","+58,305","385,944 ",+107,"19,344,838","+49,962","651,562","2,300","139,791","2,647","273,400,000","1,875,095","145,805,947 ",Europe
Turkey,"16,852,382",,"101,068 ",,"16,705,878","+4,598","45,436",975,"196,961","1,181","162,743,369","1,902,052","85,561,976 ",Asia
Spain,"13,384,876",,"113,725 ",,"13,189,537",,"81,614",339,"286,497","2,434","471,036,328","10,082,298","46,719,142 ",Europe
Vietnam,"11,456,558","+2,479","43,138 ",+1,"10,578,390","+69,654","835,030",153,"115,777",436,"85,826,548","867,342","98,953,541 ",Asia
Australia,"10,157,316","+1,430","14,749 ",+4,"10,064,797",,"77,770",55,"389,635",566,"78,805,440","3,022,980","26,068,792 ",Australia/Oceania
Argentina,"9,703,055",+882,"129,852 ",+3,"9,539,893","+2,833","33,310",322,"210,889","2,822","35,716,069","776,264","46,010,234 ",South America
Netherlands,"8,405,580",,"22,626 ",,"8,347,534",,"35,420",31,"488,371","1,315","21,107,399","1,226,358","17,211,447 ",Europe
Iran,"7,542,533",+303,"144,287 ",+14,"7,320,304",+743,"77,942",311,"87,681","1,677","53,905,794","626,645","86,022,837 ",Asia
Mexico,"7,069,543","+1,195","329,896 ",+28,"6,335,302","+2,960","404,345","4,798","53,735","2,508","18,328,375","139,313","131,562,772 ",North America
Indonesia,"6,407,123","+2,079","157,884 ",+8,"6,221,389","+2,681","27,850","2,771","22,954",566,"107,902,204","386,560","279,134,505 ",Asia
Colombia,"6,305,562",,"141,746 ",,"6,132,645",,"31,171",342,"122,408","2,752","36,469,553","707,971","51,512,762 ",South America
Poland,"6,243,975","+5,435","117,351 ",+10,"5,335,950",,"790,674","2,782","165,448","3,109","37,159,471","984,623","37,739,785 ",Europe
Taiwan,"5,930,869","+39,570","10,509 ",+40,"5,211,092","+26,695","709,268",,"248,272",440,"25,277,095","1,058,124","23,888,595 ",Asia
Portugal,"5,456,778",,"24,951 ",,"5,363,124",,"68,703",61,"538,114","2,461","44,824,531","4,420,317","10,140,570 ",Europe
Ukraine,"5,096,397",,"108,955 ",,"4,942,518","+1,633","44,924",177,"117,994","2,523","19,521,252","451,963","43,192,122 ",Europe
Austria,"5,018,962","+5,062","20,676 ",+6,"4,946,892","+4,934","51,394",47,"553,559","2,280","196,670,986","21,691,549","9,066,710 ",Europe
Greece,"4,838,811",,"33,829 ",,"4,771,153","+6,023","33,829",115,"469,030","3,279","92,282,015","8,944,971","10,316,637 ",Europe
Malaysia,"4,817,251","+1,572","36,308 ",+3,"4,754,911","+2,695","26,032",60,"145,181","1,094","64,250,629","1,936,364","33,181,072 ",Asia
Thailand,"4,672,910",+764,"32,620 ",+14,"4,630,365",+969,"9,925","1,496","66,681",465,"17,270,775","246,450","70,078,203 ",Asia
Israel,"4,649,328",+646,"11,676 ",,"4,628,821","+1,177","8,831",101,"498,534","1,252","41,373,364","4,436,346","9,326,000 ",Asia
Chile,"4,583,654","+3,185","60,923 ",+14,"4,508,307","+3,615","14,424",131,"238,109","3,165","44,729,472","2,323,585","19,250,195 ",South America
Belgium,"4,511,590",,"32,625 ",,"4,432,091",,"46,874",52,"386,654","2,796","35,440,277","3,037,319","11,668,278 ",Europe
Canada,"4,216,141",,"44,740 ",,"4,090,867","+3,275","80,534",99,"109,828","1,165","64,759,986","1,686,967","38,388,419 ",North America
Peru,"4,131,996",+859,"216,287 ",+23,"3,898,882","+1,517","16,827",163,"122,669","6,421","34,823,147","1,033,812","33,684,208 ",South America
Czechia,"4,073,517","+2,561","40,951 ",+2,"4,013,085","+2,422","19,481",22,"379,398","3,814","56,100,113","5,225,039","10,736,784 ",Europe
Switzerland,"4,053,996",,"14,171 ",,"3,984,033","+3,146","55,792",47,"462,066","1,615","22,207,189","2,531,127","8,773,637 ",Europe
South Africa,"4,015,880",+254,"102,146 ",,"3,907,091",,"6,643",192,"66,098","1,681","26,174,429","430,811","60,756,135 ",Africa
Philippines,"3,918,326","+2,272","62,514 ",+35,"3,829,544","+2,224","26,268",670,"34,827",556,"32,576,712","289,548","112,508,994 ",Asia
Romania,"3,252,363","+1,454","66,914 ",+13,"3,157,481","+5,015","27,968",130,"170,895","3,516","24,920,190","1,309,429","19,031,335 ",Europe
Denmark,"3,101,027",,"6,993 ",,"3,085,981",,"8,053",,"531,457","1,198","128,306,100","21,989,237","5,834,950 ",Europe
Sweden,"2,578,521",,"20,069 ",,"2,538,857","+1,384","19,595",12,"252,327","1,964","18,916,006","1,851,068","10,218,971 ",Europe
Iraq,"2,458,509",,"25,348 ",,"2,431,657",,"1,504",21,"58,307",601,"19,239,264","456,286","42,164,965 ",Asia
Serbia,"2,332,509","+2,168","16,874 ",+9,"2,262,620","+3,800","53,015",24,"269,560","1,950","10,882,663","1,257,673","8,653,016 ",Europe
Hungary,"2,070,443",,"47,409 ",,"1,988,759",,"34,275",10,"215,531","4,935","11,394,556","1,186,160","9,606,259 ",Europe
Bangladesh,"2,017,087",+141,"29,339 ",,"1,960,331",+284,"27,417","1,331","12,015",175,"14,818,038","88,263","167,885,689 ",Asia
Singapore,"1,873,747","+1,847","1,607 ",+2,"1,795,349","+2,365","76,791",9,"315,257",270,"24,345,019","4,096,043","5,943,546 ",Asia
Slovakia,"1,838,952",+486,"20,433 ",+4,"1,814,687",+322,"3,832",22,"336,792","3,742","7,284,755","1,334,157","5,460,193 ",Europe
New Zealand,"1,767,085","+1,240","2,901 ",+5,"1,755,197","+1,470","8,987",,"360,762",592,"7,517,357","1,534,717","4,898,203 ",Australia/Oceania
Georgia,"1,762,206",,"16,900 ",,"1,637,293",,"108,013",,"444,022","4,258","16,920,079","4,263,340","3,968,738 ",Asia
Jordan,"1,745,032","+2,776","14,116 ",+2,"1,728,545","+3,370","2,371",59,"169,406","1,370","17,188,470","1,668,643","10,300,869 ",Asia
Hong Kong,"1,700,173","+8,278","9,868 ",+16,"1,396,883","+4,423","293,422",16,"223,581","1,298","54,352,132","7,147,553","7,604,299 ",Asia
Ireland,"1,660,635",,"7,862 ",,"1,645,639",,"7,134",13,"330,791","1,566","12,677,112","2,525,221","5,020,199 ",Europe
Pakistan,"1,571,732",+104,"30,605 ",+1,"1,535,719",,"5,408",91,"6,849",133,"30,353,254","132,265","229,488,994 ",Asia
Norway,"1,461,488",+27,"4,038 ",,"1,456,208",+119,"1,242",20,"265,177",733,"11,002,430","1,996,315","5,511,370 ",Europe
Kazakhstan,"1,392,405",+146,"13,690 ",,"1,364,155",,"14,560",24,"72,502",713,"11,575,012","602,707","19,205,043 ",Asia
Finland,"1,277,473",,"5,858 ",,"1,252,821","+2,136","18,794",21,"229,970","1,055","11,449,717","2,061,170","5,554,960 ",Europe
Morocco,"1,264,762",+19,"16,277 ",+1,"1,248,317",+12,168,293,"33,483",431,"12,531,455","331,759","37,772,756 ",Africa
