"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,225172.0,54.0,5226.0,,218995.0,51.0,951.0,10.0,156.0,4.0,160000000.0,111163.0,1439323776.0,Asia
USA,87968819.0,81733.0,1038265.0,200.0,83697015.0,85407.0,3233539.0,3035.0,262752.0,3101.0,1042268208.0,3113129.0,334797597.0,North America
India,43283793.0,13216.0,524840.0,23.0,42690845.0,8148.0,68108.0,698.0,30773.0,373.0,856910352.0,609236.0,1406532404.0,Asia
Brazil,31673375.0,28672.0,668968.0,76.0,30310772.0,,693635.0,8318.0,146967.0,3104.0,63776166.0,295926.0,215513651.0,South America
France,30079458.0,50605.0,149039.0,43.0,29314002.0,23533.0,616417.0,869.0,458837.0,2273.0,271490188.0,4141355.0,65555881.0,Europe
Germany,27124459.0,28471.0,140292.0,,26132100.0,40200.0,852067.0,668.0,321732.0,1664.0,122332384.0,1451023.0,84307702.0,Europe
UK,22472503.0,12054.0,179537.0,65.0,22070310.0,4899.0,222656.0,146.0,327668.0,2618.0,522526476.0,7618867.0,68583226.0,Europe
Russia,18391797.0,3373.0,380333.0,63.0,17815024.0,4228.0,196440.0,2300.0,125922.0,2604.0,273400000.0,1871875.0,146056790.0,Europe
S. Korea,18263643.0,7186.0,24416.0,9.0,18062055.0,6131.0,177172.0,82.0,355632.0,475.0,15804065.0,307739.0,51355441.0,Asia
Italy,17809934.0,35427.0,167658.0,41.0,17070231.0,64865.0,572045.0,191.0,295414.0,2781.0,223904665.0,3713915.0,60288039.0,Europe
Turkey,15085742.0,,98996.0,,14986340.0,,406.0,975.0,175184.0,1150.0,162743369.0,1889870.0,86113509.0,Asia
Spain,12563399.0,16090.0,107482.0,81.0,12058724.0,12947.0,397193.0,339.0,268505.0,2297.0,471036328.0,10066991.0,46790180.0,Europe
Vietnam,10736408.0,723.0,43083.0,,9591486.0,8381.0,1101839.0,42.0,108393.0,435.0,85823796.0,866461.0,99050998.0,Asia
Argentina,9313453.0,,128994.0,,9072083.0,7201.0,112376.0,344.0,202437.0,2804.0,35716069.0,776324.0,46006663.0,South America
Japan,9108323.0,15802.0,30980.0,17.0,8929852.0,14784.0,147491.0,40.0,72449.0,246.0,55258304.0,439536.0,125719679.0,Asia
Netherlands,8122258.0,3855.0,22343.0,1.0,8050362.0,1178.0,49553.0,35.0,471978.0,1298.0,21107399.0,1226533.0,17208992.0,Europe
Australia,7754013.0,30125.0,9268.0,51.0,7535922.0,27152.0,208823.0,93.0,297335.0,355.0,73058878.0,2801512.0,26078375.0,Australia/Oceania
Iran,7234523.0,156.0,141361.0,1.0,7060097.0,163.0,33065.0,313.0,84030.0,1642.0,52298398.0,607450.0,86094962.0,Asia
Colombia,6131657.0,,139918.0,,5952212.0,,39527.0,342.0,118045.0,2694.0,35304331.0,679671.0,51943302.0,South America
Indonesia,6065644.0,1220.0,156679.0,6.0,5901639.0,556.0,7326.0,2771.0,21727.0,561.0,99937274.0,357969.0,279178840.0,Asia
