"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,226509.0,112.0,5226.0,,220345.0,44.0,938.0,,157.0,4.0,160000000.0,111163.0,1439323776.0,Asia
USA,90314718.0,31114.0,1045782.0,42.0,85766711.0,39054.0,3502225.0,3755.0,,,1056959080.0,,,North America
India,43624835.0,20441.0,525428.0,42.0,42968533.0,14553.0,130874.0,698.0,30997.0,373.0,866177937.0,615452.0,1407384331.0,Asia
Brazil,32874501.0,40905.0,673554.0,154.0,31142535.0,23072.0,1058412.0,8318.0,152473.0,3124.0,63776166.0,295796.0,215608457.0,South America
France,32115604.0,,150017.0,,29979707.0,,1985880.0,869.0,489829.0,2288.0,271490188.0,4140784.0,65564931.0,Europe
Germany,29022265.0,,141862.0,,27165100.0,29200.0,1715303.0,1045.0,344174.0,1682.0,122332384.0,1450734.0,84324494.0,Europe
UK,22883995.0,,180718.0,,22236601.0,10038.0,466676.0,146.0,333559.0,2634.0,522526476.0,7616383.0,68605590.0,Europe
Italy,19359581.0,99687.0,169062.0,93.0,17926011.0,83165.0,1264508.0,344.0,321148.0,2804.0,229915390.0,3813967.0,60282474.0,Europe
S. Korea,18491435.0,20263.0,24624.0,19.0,18264768.0,9271.0,202043.0,61.0,360048.0,479.0,15804065.0,307722.0,51358205.0,Asia
Russia,18458813.0,3539.0,381544.0,45.0,17886064.0,3086.0,191205.0,2300.0,126378.0,2612.0,273400000.0,1871824.0,146060709.0,Europe
Turkey,15180444.0,,99057.0,,15035727.0,,45660.0,975.0,176168.0,1150.0,162743369.0,1888620.0,86170508.0,Asia
Spain,12973615.0,,108730.0,,12319484.0,,545401.0,339.0,277265.0,2324.0,471036328.0,10066747.0,46791314.0,Europe
Vietnam,10754348.0,684.0,43089.0,,9756387.0,6522.0,954872.0,23.0,108514.0,435.0,85826548.0,866008.0,99105979.0,Asia
Japan,9593994.0,49557.0,31403.0,26.0,9266480.0,21925.0,296111.0,74.0,76327.0,250.0,57500141.0,457456.0,125695455.0,Asia
Argentina,9421620.0,4549.0,129140.0,5.0,9200368.0,4006.0,92112.0,410.0,204672.0,2805.0,35716069.0,775885.0,46032700.0,South America
Australia,8456777.0,37158.0,10301.0,76.0,8134446.0,24039.0,312030.0,136.0,324052.0,395.0,74631010.0,2859759.0,26096961.0,Australia/Oceania
Netherlands,8231077.0,,22404.0,,8074759.0,,133914.0,43.0,478235.0,1302.0,21107399.0,1226364.0,17211368.0,Europe
Iran,7247601.0,894.0,141429.0,2.0,7064430.0,188.0,41742.0,328.0,84115.0,1641.0,52690831.0,611528.0,86162519.0,Asia
Mexico,6217788.0,32569.0,326022.0,46.0,5304674.0,14985.0,587092.0,4798.0,47224.0,2476.0,16849170.0,127969.0,131666441.0,North America
Colombia,6198848.0,,140202.0,,6008044.0,,50602.0,342.0,119261.0,2697.0,35662857.0,686123.0,51977364.0,South America
Indonesia,6108729.0,2705.0,156785.0,4.0,5932089.0,1973.0,19855.0,2771.0,21867.0,561.0,101453673.0,363164.0,279360489.0,Asia
Poland,6021943.0,1264.0,116453.0,4.0,5335712.0,6.0,569778.0,408.0,159467.0,3084.0,36517410.0,967016.0,37762989.0,Europe
Portugal,5242121.0,,24291.0,,4908337.0,,309493.0,61.0,517141.0,2396.0,43527258.0,4294011.0,10136736.0,Europe
Ukraine,5019125.0,,108671.0,,4907094.0,,3360.0,177.0,116173.0,2515.0,19521252.0,451841.0,43203850.0,Europe
DPRK,4764950.0,1590.0,74.0,,4761960.0,1790.0,2916.0,,183220.0,3.0,,,26006776.0,Asia
Malaysia,4592710.0,2799.0,35809.0,8.0,4521578.0,2666.0,35323.0,41.0,138323.0,1078.0,61391436.0,1848980.0,33202864.0,Asia
Thailand,4543039.0,2084.0,30816.0,15.0,4487492.0,2417.0,24731.0,1496.0,64759.0,439.0,17270775.0,246186.0,70153367.0,Asia
Austria,4520395.0,9654.0,18872.0,37.0,4383716.0,10396.0,117807.0,55.0,496196.0,2072.0,191372091.0,21006599.0,9110094.0,Europe
Israel,4442286.0,6286.0,11067.0,11.0,4362505.0,10916.0,68714.0,310.0,476333.0,1187.0,41373364.0,4436346.0,9326000.0,Asia
Belgium,4294880.0,,31977.0,,4135478.0,,127425.0,74.0,367354.0,2735.0,34634546.0,2962396.0,11691398.0,Europe
Chile,4075533.0,9655.0,58787.0,30.0,3725188.0,12396.0,291558.0,190.0,209568.0,3023.0,40990739.0,2107781.0,19447338.0,South America
Taiwan,4054184.0,28130.0,7553.0,94.0,3287604.0,50492.0,759027.0,,169605.0,316.0,21571867.0,902447.0,23903749.0,Asia
South Africa,3997269.0,,101876.0,,3887182.0,,8211.0,192.0,65725.0,1675.0,25810400.0,424389.0,60817738.0,Africa
Canada,3970571.0,,42200.0,,3568150.0,,360221.0,195.0,103374.0,1099.0,62586673.0,1629439.0,38409945.0,North America
Czechia,3941030.0,1837.0,40332.0,1.0,3892805.0,1130.0,7893.0,17.0,366639.0,3752.0,55578853.0,5170575.0,10749066.0,Europe
Greece,3829836.0,18214.0,30448.0,26.0,3594134.0,7660.0,205254.0,101.0,371095.0,2950.0,86558783.0,8387182.0,10320365.0,Europe
Switzerland,3787749.0,,13997.0,,3657153.0,3054.0,116599.0,56.0,431291.0,1594.0,21468590.0,2444518.0,8782342.0,Europe
Philippines,3716449.0,1752.0,60639.0,,3642862.0,1259.0,12948.0,469.0,33028.0,539.0,30970208.0,275231.0,112524435.0,Asia
Peru,3669043.0,6358.0,213665.0,13.0,3403277.0,5777.0,52101.0,142.0,108235.0,6303.0,31882576.0,940523.0,33898760.0,South America
Denmark,3027480.0,,6510.0,,2999197.0,,21773.0,10.0,518994.0,1116.0,127752435.0,21900321.0,5833359.0,Europe
Romania,2927187.0,,65755.0,,2849732.0,,11700.0,52.0,154234.0,3465.0,23542696.0,1240469.0,18978874.0,Europe
Sweden,2523404.0,,19111.0,,2491292.0,,13001.0,12.0,246755.0,1869.0,18688615.0,1827498.0,10226339.0,Europe
Iraq,2383094.0,4017.0,25253.0,,2321394.0,2566.0,36447.0,23.0,56681.0,601.0,18876360.0,448968.0,42043887.0,Asia
Serbia,2040227.0,1281.0,16147.0,1.0,2007263.0,1146.0,16817.0,8.0,235419.0,1863.0,9970542.0,1150485.0,8666382.0,Europe
Bangladesh,1989040.0,939.0,29198.0,3.0,1912204.0,837.0,47638.0,1228.0,11839.0,174.0,14443410.0,85972.0,168000493.0,Asia
Hungary,1932788.0,,46661.0,,1874932.0,,11195.0,10.0,201104.0,4855.0,11394556.0,1185591.0,9610869.0,Europe
Slovakia,1800673.0,910.0,20159.0,2.0,1773956.0,422.0,6558.0,16.0,329493.0,3689.0,7188104.0,1315304.0,5464977.0,Europe
Jordan,1700526.0,,14068.0,,1685354.0,,1104.0,124.0,163394.0,1352.0,16894012.0,1623247.0,10407542.0,Asia
Georgia,1662299.0,,16844.0,,1637293.0,,8162.0,,418323.0,4239.0,16920079.0,4257995.0,3973720.0,Asia
Ireland,1614631.0,,7503.0,,1560415.0,,46713.0,35.0,319786.0,1486.0,12441845.0,2464173.0,5049095.0,Europe
Pakistan,1542377.0,732.0,30420.0,7.0,1502260.0,374.0,9697.0,158.0,6719.0,133.0,29148666.0,126983.0,229547873.0,Asia
Singapore,1523881.0,8659.0,1428.0,1.0,1422114.0,9787.0,100339.0,15.0,256408.0,240.0,24098157.0,4054751.0,5943190.0,Asia
Norway,1450634.0,143.0,3415.0,,1439476.0,820.0,7743.0,20.0,263427.0,620.0,11002430.0,1997977.0,5506784.0,Europe
