"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"111,857",+337,"4,636 ",,"103,013",+181,"4,208",8,78,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"81,070,748","+42,123","990,013 ","+1,421","55,429,994","+208,532","24,650,741","5,158","242,528","2,962","961,448,814","2,876,234","334,273,557 ",North America
India,"42,980,067","+4,184","515,490 ",+104,"42,420,120","+6,554","44,457","8,944","30,637",367,"776,082,445","553,212","1,402,865,413 ",Asia
Brazil,"29,194,042","+49,078","653,588 ",+652,"27,470,786","+125,837","1,069,668","8,318","135,720","3,038","63,776,166","296,488","215,105,573 ",South America
France,"23,234,062","+69,190","139,773 ",+155,"21,929,017","+92,178","1,165,272","1,962","354,627","2,133","246,629,975","3,764,370","65,516,925 ",Europe
UK,"19,417,839","+66,055","162,482 ",+123,"18,138,356","+51,648","1,117,001",275,"283,526","2,372","488,292,589","7,129,716","68,486,963 ",Europe
Russia,"17,140,069","+58,675","358,246 ",+645,"14,895,083","+92,732","1,886,740","2,300","117,366","2,453","273,400,000","1,872,091","146,039,921 ",Europe
Germany,"16,336,336","+191,973","125,515 ",+216,"12,753,700","+228,700","3,457,121","2,494","193,937","1,490","104,701,826","1,242,967","84,235,426 ",Europe
Turkey,"14,458,881","+33,243","95,954 ",+143,"13,951,247","+68,822","411,680",975,"168,385","1,117","147,197,493","1,714,227","85,868,167 ",Asia
Italy,"13,160,268","+49,409","156,357 ",+156,"12,001,063","+59,258","1,002,848",563,"218,203","2,592","190,933,832","3,165,769","60,311,992 ",Europe
Spain,"11,181,510","+21,936","100,992 ",+133,"10,214,067","+39,988","866,451",743,"238,996","2,159","471,036,328","10,068,042","46,785,298 ",Europe
Argentina,"8,955,458","+6,096","126,955 ",+54,"8,753,450","+4,074","75,053",916,"195,131","2,766","34,641,140","754,798","45,894,592 ",South America
Iran,"7,107,167","+5,008","138,433 ",+173,"6,754,234","+7,164","214,500","3,265","82,830","1,613","47,961,837","558,969","85,804,173 ",Asia
Netherlands,"6,912,110","+74,236","21,634 ",+10,"5,139,036","+86,703","1,751,440",168,"401,896","1,258","21,107,399","1,227,262","17,198,766 ",Europe
Colombia,"6,074,155",+739,"139,189 ",+35,"5,904,365","+1,086","30,601",342,"117,269","2,687","33,427,450","645,359","51,796,689 ",South America
Indonesia,"5,826,589","+26,336","151,135 ",+304,"5,258,235","+31,705","417,219","2,771","20,929",543,"88,286,251","317,124","278,396,962 ",Asia
Poland,"5,774,925","+14,402","113,002 ",+234,"5,152,498","+9,826","509,425",602,"152,870","2,991","34,285,064","907,570","37,776,753 ",Europe
