"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
USA,"81,410,101",,"997,933 ",,"63,006,762",,"17,405,406","3,129","243,505","2,985","971,606,364","2,906,160","334,326,490 ",North America
India,"43,009,390",,"516,516 ",,"42,467,774",,"25,100","8,944","30,650",368,"782,660,658","557,754","1,403,235,816 ",Asia
Brazil,"29,630,484",,"657,261 ",,"28,187,353",,"785,870","8,318","137,722","3,055","63,776,166","296,431","215,146,793 ",South America
France,"24,137,160",,"140,933 ",,"22,561,882",,"1,434,345","1,695","368,389","2,151","246,629,975","3,764,144","65,520,860 ",Europe
UK,"20,093,762",,"163,511 ",,"18,541,447",,"1,388,804",292,"293,354","2,387","495,276,718","7,230,667","68,496,687 ",Europe
Germany,"18,683,287",,"127,432 ",,"14,680,700","+151,900","3,875,155","2,494","221,779","1,513","104,701,826","1,242,859","84,242,727 ",Europe
Russia,"17,611,401","+28,709","364,901 ",+409,"16,271,880","+61,938","974,620","2,300","120,592","2,499","273,400,000","1,872,069","146,041,625 ",Europe
Turkey,"14,693,917",,"97,267 ",,"14,324,234",,"272,416",975,"171,072","1,132","150,681,202","1,754,291","85,892,949 ",Asia
Italy,"13,861,743",,"157,785 ",,"12,531,134",,"1,172,824",467,"229,843","2,616","195,712,501","3,245,132","60,309,573 ",Europe
Spain,"11,324,637",,"101,703 ",,"10,571,203",,"651,731",682,"242,053","2,174","471,036,328","10,067,936","46,785,791 ",Europe
S. Korea,"9,582,815","+209,169","12,757 ",+329,N/A,N/A,N/A,"1,130","186,637",248,"15,804,065","307,803","51,344,747 ",Asia
Argentina,"9,007,753",,"127,494 ",,"8,812,506",,"67,753",689,"196,222","2,777","35,069,347","763,940","45,905,913 ",South America
Vietnam,"7,958,048",,"41,880 ",,"4,103,028",,"3,813,140","3,968","80,516",424,"82,862,859","838,368","98,838,245 ",Asia
Netherlands,"7,511,397",,"21,793 ",,"5,990,728",,"1,498,876",150,"436,714","1,267","21,107,399","1,227,189","17,199,799 ",Europe
Iran,"7,141,033",,"139,610 ",,"6,822,521",,"178,902","2,011","83,196","1,627","48,534,882","565,454","85,833,545 ",Asia
Colombia,"6,081,131",,"139,452 ",,"5,913,303",,"28,376",342,"117,370","2,692","33,683,396","650,114","51,811,498 ",South America
Japan,"6,061,939",,"27,045 ",,"5,516,590",,"518,304",955,"48,182",215,"41,957,723","333,492","125,813,414 ",Asia
Indonesia,"5,962,483",,"153,738 ",,"5,589,057",,"219,688","2,771","21,411",552,"90,365,359","324,500","278,475,940 ",Asia
Poland,"5,891,140",,"114,218 ",,"5,231,888",,"545,034",413,"155,951","3,024","35,024,470","927,171","37,775,625 ",Europe
Mexico,"5,634,829",+901,"322,092 ",+20,"4,929,271","+2,242","383,466","4,798","42,931","2,454","15,450,810","117,719","131,252,171 ",North America
Ukraine,"4,928,032",,"107,477 ",,N/A,N/A,N/A,177,"113,854","2,483","19,521,252","451,006","43,283,828 ",Europe
Malaysia,"3,993,124",,"34,400 ",,"3,684,665",,"274,059",371,"120,726","1,040","53,582,845","1,619,993","33,075,969 ",Asia
Australia,"3,943,245","+40,132","5,736 ",+6,"3,526,875",,"410,634",87,"151,626",221,"65,374,596","2,513,784","26,006,454 ",Australia/Oceania
Israel,"3,772,758",,"10,431 ",,"3,711,564",,"50,763",327,"404,542","1,118","41,373,364","4,436,346","9,326,000 ",Asia
Czechia,"3,740,174","+2,275","39,374 ",+5,"3,634,647","+8,112","66,153",107,"348,150","3,665","54,384,187","5,062,289","10,743,004 ",Europe
