"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"141,986","+1,335","4,638 ",,"110,036",+917,"27,312",50,99,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"81,616,936","+15,510","1,003,425 ",+221,"64,268,976","+198,813","16,344,535","2,303","244,100","3,001","978,293,345","2,925,884","334,358,250 ",North America
India,"43,019,453","+1,421","521,034 ",+149,"42,482,262","+1,826","16,157","8,944","30,652",371,"786,302,714","560,261","1,403,458,058 ",Asia
Brazil,"29,832,179","+29,922","658,812 ",+186,"28,464,436","+30,723","708,931","8,318","138,644","3,062","63,776,166","296,397","215,171,525 ",South America
France,"24,919,399","+139,517","141,631 ",+67,"22,915,762","+45,207","1,862,006","1,564","380,314","2,162","254,106,036","3,878,107","65,523,221 ",Europe
UK,"20,691,123",,"164,454 ",,"18,783,177",,"1,743,492",302,"302,049","2,401","500,714,605","7,309,433","68,502,521 ",Europe
Germany,"20,170,130","+151,665","128,757 ",,"15,646,000","+127,300","4,395,373","2,494","239,416","1,528","104,701,826","1,242,794","84,247,107 ",Europe
Russia,"17,739,462","+24,072","367,013 ",+395,"16,606,691","+60,933","765,758","2,300","121,468","2,513","273,400,000","1,872,056","146,042,647 ",Europe
Turkey,"14,789,483","+13,849","97,736 ",+70,"14,441,455","+17,673","250,292",975,"172,155","1,138","152,414,773","1,774,167","85,907,818 ",Asia
Italy,"14,305,168","+74,414","158,700 ",+118,"12,891,028","+66,565","1,255,440",452,"237,201","2,631","198,639,817","3,293,749","60,308,121 ",Europe
S. Korea,"11,497,711","+335,479","14,617 ",+323,N/A,N/A,N/A,"1,164","223,928",285,"15,804,065","307,799","51,345,468 ",Asia
Spain,"11,451,676",,"102,392 ",,"10,755,608",,"593,676",510,"244,767","2,189","471,036,328","10,067,872","46,786,087 ",Europe
Argentina,"9,025,257","+1,445","127,904 ",+58,"8,835,483","+3,577","61,870",603,"196,574","2,786","35,259,438","767,967","45,912,705 ",South America
Vietnam,"8,919,557","+103,126","42,258 ",+62,"5,166,117","+164,553","3,711,182","3,353","90,231",427,"83,048,614","840,126","98,852,588 ",Asia
Netherlands,"7,728,865","+28,150","21,892 ",+21,"6,213,082","+41,157","1,493,891",156,"449,342","1,273","21,107,399","1,227,144","17,200,419 ",Europe
Iran,"7,148,789","+1,382","139,971 ",+54,"6,850,525","+4,295","158,293","1,672","83,270","1,630","48,991,010","570,650","85,851,169 ",Asia
Japan,"6,286,816","+47,937","27,601 ",+116,"5,830,955","+60,806","428,260",707,"49,972",219,"42,683,814","339,280","125,807,095 ",Asia
Colombia,"6,083,291",+348,"139,558 ",+14,"5,916,253",+290,"27,480",342,"117,392","2,693","33,803,790","652,326","51,820,384 ",South America
Indonesia,"5,995,876","+4,189","154,570 ",+107,"5,702,163","+10,943","139,143","2,771","21,527",555,"91,376,175","328,074","278,523,326 ",Asia
Poland,"5,939,733","+6,631","114,821 ",+85,"5,280,984","+3,662","543,928",361,"157,240","3,040","35,402,625","937,199","37,774,948 ",Europe
Mexico,"5,647,041","+3,078","322,634 ",+202,"4,944,194","+2,853","380,213","4,798","43,017","2,458","15,505,265","118,113","131,274,364 ",North America
Ukraine,"4,952,913",,"107,811 ",,N/A,N/A,N/A,177,"114,440","2,491","19,521,252","451,050","43,279,544 ",Europe
Australia,"4,232,861","+52,019","5,882 ",+30,"3,773,045","+40,117","453,934",100,"162,732",226,"65,919,439","2,534,261","26,011,302 ",Australia/Oceania
Malaysia,"4,122,004","+20,923","34,751 ",+34,"3,844,766","+25,467","242,487",302,"124,597","1,050","55,592,016","1,680,392","33,082,767 ",Asia
Israel,"3,848,021","+12,321","10,460 ",,"3,766,357","+11,817","71,204",283,"412,612","1,122","41,373,364","4,436,346","9,326,000 ",Asia
Czechia,"3,784,545","+7,544","39,533 ",+14,"3,672,149","+9,407","72,863",103,"352,269","3,680","54,554,105","5,077,952","10,743,329 ",Europe
Belgium,"3,782,085","+10,852","30,686 ",+24,"3,498,379","+8,446","253,020",167,"323,897","2,628","32,630,945","2,794,505","11,676,824 ",Europe
South Africa,"3,712,263","+1,497","99,965 ",+26,"3,597,725",+734,"14,573",546,"61,257","1,650","23,727,513","391,535","60,601,189 ",Africa
Austria,"3,698,511","+33,508","15,665 ",+46,"3,252,752","+43,304","430,094",238,"406,643","1,722","173,506,959","19,076,679","9,095,239 ",Europe
Philippines,"3,676,661",+433,"58,884 ",+53,"3,574,295","+1,045","43,482",289,"32,797",525,"28,831,064","257,186","112,101,986 ",Asia
Peru,"3,544,862",+524,"212,102 ",+52,N/A,N/A,N/A,495,"104,984","6,282","28,511,805","844,401","33,765,703 ",South America
Portugal,"3,534,003",,"21,545 ",,N/A,N/A,N/A,64,"348,339","2,124","39,734,174","3,916,507","10,145,309 ",Europe
Thailand,"3,503,264","+26,234","24,718 ",+67,"3,228,284","+20,013","250,262","1,496","49,973",353,"17,270,775","246,364","70,102,784 ",Asia
Chile,"3,443,018","+7,448","56,298 ",+76,"2,900,516","+33,443","486,204",701,"177,476","2,902","35,177,165","1,813,268","19,399,868 ",South America
Canada,"3,439,273","+2,754","37,420 ",+9,"3,265,641","+1,921","136,212",409,"89,765",977,"59,181,662","1,544,640","38,314,210 ",North America
Switzerland,"3,403,549",,"13,646 ",,"2,710,844",,"679,059",150,"388,354","1,557","20,493,186","2,338,327","8,764,039 ",Europe
Greece,"2,916,892","+16,558","27,216 ",+56,"2,631,136","+22,647","258,540",341,"282,233","2,633","72,710,891","7,035,377","10,335,038 ",Europe
