"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"123,773","+1,317","4,636 ",,"104,287",+247,"14,850",16,86,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"81,350,883","+35,474","996,072 ",+931,"56,822,580","+187,878","23,532,231","3,471","243,339","2,979","969,701,073","2,900,599","334,310,610 ",North America
India,"43,004,005","+2,528","516,312 ",+150,"42,458,543","+3,997","29,150","8,944","30,649",368,"781,224,304","556,775","1,403,124,696 ",Asia
Brazil,"29,527,640","+49,601","656,487 ",+484,"28,126,647","+62,887","744,506","8,318","137,252","3,052","63,776,166","296,448","215,134,427 ",South America
France,"23,860,194","+101,747","140,729 ",+116,"22,452,496","+57,965","1,266,969","1,695","364,168","2,148","246,629,975","3,764,212","65,519,680 ",Europe
UK,"20,001,627","+89,717","163,386 ",+138,"18,507,001","+33,031","1,331,240",281,"292,021","2,385","494,375,963","7,217,824","68,493,770 ",Europe
Germany,"18,140,525","+296,980","127,072 ",+242,"14,142,500","+210,600","3,870,953","2,494","215,342","1,508","104,701,826","1,242,891","84,240,536 ",Europe
Russia,"17,484,257","+34,819","363,039 ",+561,"15,934,645","+112,614","1,186,573","2,300","119,721","2,486","273,400,000","1,872,076","146,041,114 ",Europe
Turkey,"14,644,382","+21,354","96,954 ",+101,"14,271,428","+25,619","276,000",975,"170,510","1,129","149,811,965","1,744,322","85,885,515 ",Asia
Italy,"13,645,834","+79,895","157,442 ",+128,"12,400,175","+48,190","1,088,217",473,"226,260","2,611","194,373,101","3,222,884","60,310,299 ",Europe
Spain,"11,260,040",,"101,416 ",,"10,502,784",,"655,840",682,"240,673","2,168","471,036,328","10,067,967","46,785,643 ",Europe
Argentina,"8,990,413","+4,577","127,363 ",+29,"8,797,548","+6,289","65,502",707,"195,859","2,775","34,971,639","761,868","45,902,517 ",South America
S. Korea,"8,250,592","+621,328","11,481 ",+429,N/A,N/A,N/A,"1,159","160,691",224,"15,804,065","307,805","51,344,386 ",Asia
Netherlands,"7,380,902","+53,667","21,755 ",+19,"5,821,253","+53,495","1,537,894",155,"429,135","1,265","21,107,399","1,227,211","17,199,489 ",Europe
Vietnam,"7,174,423","+178,112","41,683 ",+76,"3,685,988","+138,500","3,446,752","4,435","72,593",422,"82,126,716","830,981","98,831,073 ",Asia
Iran,"7,135,719","+2,580","139,387 ",+98,"6,805,081","+6,731","191,251","2,234","83,143","1,624","48,534,882","565,512","85,824,734 ",Asia
Colombia,"6,079,231",+744,"139,386 ",+25,"5,911,449",+924,"28,396",342,"117,344","2,690","33,623,076","649,006","51,807,055 ",South America
Indonesia,"5,939,082","+11,532","153,212 ",+237,"5,523,393","+28,787","262,477","2,771","21,329",550,"89,980,099","323,144","278,452,247 ",Asia
Japan,"5,911,813","+56,573","26,600 ",+158,"5,344,759","+59,925","540,454","1,090","46,988",211,"41,509,477","329,921","125,816,574 ",Asia
Poland,"5,863,414","+12,274","113,980 ",+207,"5,215,898","+7,955","533,536",457,"155,215","3,017","34,844,547","922,400","37,775,963 ",Europe
Mexico,"5,619,780","+5,910","321,619 ",+244,"4,912,654","+5,845","385,507","4,798","42,820","2,451","15,396,315","117,313","131,241,075 ",North America
Ukraine,"4,922,901","+5,144","107,412 ",+72,N/A,N/A,N/A,177,"113,730","2,481","19,521,252","450,983","43,285,970 ",Europe
Malaysia,"3,927,437","+27,004","34,185 ",+86,"3,596,453","+29,450","296,799",373,"118,752","1,034","53,049,502","1,604,033","33,072,571 ",Asia
Australia,"3,767,956","+52,341","5,665 ",+26,"3,442,974","+31,840","319,317",96,"144,899",218,"65,006,859","2,499,876","26,004,029 ",Australia/Oceania
Israel,"3,745,408","+8,056","10,417 ",+12,"3,692,166","+5,883","42,825",325,"401,609","1,117","41,373,364","4,436,346","9,326,000 ",Asia
Czechia,"3,716,205","+8,550","39,306 ",+28,"3,595,972","+3,825","80,927",129,"345,924","3,659","53,196,535","4,951,812","10,742,842 ",Europe
South Africa,"3,700,484","+1,681","99,829 ",+62,"3,585,603","+1,310","15,052",546,"61,081","1,648","23,514,233","388,134","60,582,803 ",Africa
