"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"203,334","+2,680","4,776 ",+51,"169,380","+2,982","29,178",274,141,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"82,747,175","+38,858","1,018,718 ",+186,"80,506,860","+41,509","1,221,597","1,415","247,359","3,045","1,001,729,381","2,994,507","334,522,343 ",North America
India,"43,062,097","+2,011","522,223 ",,"42,523,311","+1,970","16,563",698,"30,658",372,"834,717,702","594,272","1,404,606,308 ",Asia
Brazil,"30,355,919","+6,456","662,777 ",+76,"29,411,813","+27,459","281,329","8,318","140,994","3,078","63,776,166","296,221","215,299,307 ",South America
France,"28,317,915","+13,984","145,257 ",+197,"26,083,461","+202,981","2,089,197","1,677","432,101","2,216","266,484,045","4,066,260","65,535,419 ",Europe
Germany,"24,227,680","+86,980","134,817 ",+171,"21,425,200","+182,200","2,667,663","1,980","287,502","1,600","122,332,384","1,451,676","84,269,739 ",Europe
UK,"21,986,881","+14,436","173,693 ",+114,"20,955,075","+172,725","858,113",339,"320,823","2,534","514,985,782","7,514,457","68,532,664 ",Europe
Russia,"18,144,788","+7,651","375,061 ",+159,"17,483,483","+8,855","286,244","2,300","124,239","2,568","273,400,000","1,871,988","146,047,929 ",Europe
S. Korea,"16,929,564","+34,370","22,243 ",+110,N/A,N/A,N/A,668,"329,695",433,"15,804,065","307,776","51,349,193 ",Asia
Italy,"16,161,748","+25,287","162,781 ",+93,"14,755,958","+26,738","1,243,009",416,"268,020","2,699","211,830,644","3,512,910","60,300,620 ",Europe
Turkey,"15,021,151","+2,604","98,706 ",+15,"14,888,995","+18,573","33,450",975,"174,696","1,148","158,372,522","1,841,870","85,984,643 ",Asia
Spain,"11,821,601","+11,855","104,148 ",+80,"11,323,230","+24,217","394,223",339,"252,665","2,226","471,036,328","10,067,543","46,787,616 ",Europe
Vietnam,"10,611,772","+7,445","43,021 ",+8,"9,092,760","+6,685","1,475,991",664,"107,269",435,"85,791,014","867,218","98,926,693 ",Asia
Argentina,"9,072,230",,"128,542 ",,"8,895,999",,"47,689",372,"197,446","2,798","35,716,069","777,318","45,947,798 ",South America
Netherlands,"8,040,573","+1,356","22,228 ",+7,"7,706,644","+63,124","311,701",78,"467,377","1,292","21,107,399","1,226,916","17,203,621 ",Europe
Japan,"7,660,012","+38,450","29,308 ",+24,"7,178,748","+43,345","451,956",191,"60,903",233,"46,754,605","371,734","125,774,445 ",Asia
Iran,"7,217,117","+1,077","140,996 ",+21,"6,969,470","+2,516","106,651","1,031","83,976","1,641","50,862,245","591,819","85,942,224 ",Asia
Colombia,"6,091,551",+208,"139,780 ",+2,"5,925,040",+295,"26,731",342,"117,447","2,695","34,388,490","663,022","51,866,293 ",South America
Indonesia,"6,044,467",+317,"156,133 ",+33,"5,875,083","+4,664","13,251","2,771","21,683",560,"95,024,563","340,873","278,768,157 ",Asia
Poland,"5,991,464",+267,"115,948 ",,"5,334,380",+6,"541,136","1,588","158,624","3,070","36,032,893","953,972","37,771,451 ",Europe
Mexico,"5,733,785",+271,"324,129 ",+12,"5,034,427",+535,"375,229","4,798","43,640","2,467","15,766,174","119,996","131,389,028 ",North America
Australia,"5,720,127","+30,750","7,002 ",+13,"5,353,033","+39,811","360,092",132,"219,698",269,"68,886,938","2,645,798","26,036,353 ",Australia/Oceania
Ukraine,"4,998,517",+224,"108,329 ",+3,N/A,N/A,N/A,177,"115,553","2,504","19,521,252","451,281","43,257,407 ",Europe
Malaysia,"4,433,551","+2,478","35,507 ",+8,"4,330,037","+9,215","68,007",98,"133,872","1,072","58,425,629","1,764,171","33,117,890 ",Asia
Thailand,"4,180,868","+14,994","27,902 ",+124,"3,978,469","+23,524","174,497","1,496","59,627",398,"17,270,775","246,312","70,117,577 ",Asia
Austria,"4,108,970","+4,111","18,054 ",+7,"3,998,778","+8,918","92,138",124,"451,556","1,984","181,910,461","19,991,077","9,099,583 ",Europe
Israel,"4,062,278","+4,506","10,673 ",+3,"4,022,613","+13,461","28,992",220,"435,586","1,144","41,373,364","4,436,346","9,326,000 ",Asia
Belgium,"4,036,113","+2,645","31,382 ",+15,"3,739,914","+13,457","264,817",156,"345,525","2,687","33,531,891","2,870,614","11,681,086 ",Europe
Czechia,"3,896,154",+592,"40,100 ",+5,"3,840,761","+2,796","15,293",42,"362,601","3,732","55,122,500","5,130,057","10,745,007 ",Europe
Portugal,"3,791,744",,"22,162 ",,N/A,N/A,N/A,61,"373,836","2,185","41,038,444","4,046,066","10,142,802 ",Europe
South Africa,"3,764,865","+1,954","100,333 ",+30,"3,634,446","+1,149","30,086",175,"62,060","1,654","24,332,659","401,102","60,664,519 ",Africa
Canada,"3,706,887","+7,204","38,847 ",+64,"3,431,944","+2,670","236,096",471,"96,679","1,013","60,625,588","1,581,171","38,342,208 ",North America
Philippines,"3,684,712",+213,"60,194 ",+12,"3,611,879","+1,221","12,639",289,"32,833",536,"29,446,030","262,383","112,225,532 ",Asia
Switzerland,"3,600,181","+1,480","13,835 ",+4,"3,395,378","+16,871","190,968",90,"410,539","1,578","20,666,182","2,356,627","8,769,392 ",Europe
Peru,"3,561,677",+801,"212,761 ",+19,N/A,N/A,N/A,353,"105,361","6,294","29,673,543","877,796","33,804,616 ",South America
Chile,"3,547,977","+1,484","57,376 ",+1,"3,385,643","+7,448","104,958",263,"182,756","2,955","36,787,580","1,894,924","19,413,751 ",South America
