"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"226,035",+112,"5,226 ",,"220,199",+34,610,,157,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"89,839,331","+60,611","1,044,241 ",+172,"85,394,730","+103,855","3,400,360","3,489","268,259","3,118","1,054,100,246","3,147,525","334,898,170 ",North America
India,"43,547,809","+15,021","525,270 ",+28,"42,907,327","+15,394","115,212",698,"30,946",373,"864,451,219","614,290","1,407,236,169 ",Asia
Brazil,"32,610,830","+74,528","672,494  ",+393,"31,039,055","+71,941","899,281","8,318","151,262","3,119","63,776,166","295,819","215,591,969 ",South America
France,"31,658,727","+206,554","149,801 ",+75,"29,826,046","+51,813","1,682,880",869,"482,872","2,285","271,490,188","4,140,883","65,563,357 ",Europe
Germany,"28,673,212","+130,728","141,519 ",+122,"26,978,400","+92,000","1,553,293","1,062","340,046","1,678","122,332,384","1,450,784","84,321,573 ",Europe
UK,"22,855,499","+28,496","180,657 ",+60,"22,203,099","+12,762","471,743",146,"333,162","2,633","522,526,476","7,616,815","68,601,700 ",Europe
Italy,"18,941,002","+134,505","168,698 ",+94,"17,682,801","+64,828","1,089,503",323,"314,199","2,798","228,395,655","3,788,696","60,283,442 ",Europe
Russia,"18,445,301","+2,676","381,354 ",+48,"17,873,576","+3,612","190,371","2,300","126,286","2,611","273,400,000","1,871,833","146,060,027 ",Europe
S. Korea,"18,413,997","+18,133","24,576 ",+2,"18,239,069","+7,182","150,352",54,"358,544",479,"15,804,065","307,725","51,357,724 ",Asia
Turkey,"15,180,444",,"99,057 ",,"15,035,727",,"45,660",975,"176,188","1,150","162,743,369","1,888,838","86,160,595 ",Asia
Spain,"12,890,002","+17,953","108,259 ",+37,"12,294,986","+14,292","486,757",339,"275,480","2,314","471,036,328","10,066,790","46,791,117 ",Europe
Vietnam,"10,750,314",+990,"43,089 ",+1,"9,724,922","+9,759","982,303",30,"108,483",435,"85,826,548","866,091","99,096,417 ",Asia
