"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
USA,"81,064,103",,"989,473 ",,"55,429,994",,"24,644,636","5,158","242,512","2,960","961,448,814","2,876,279","334,268,263 ",North America
India,"42,980,067",,"515,490 ",,"42,420,120",,"44,457","8,944","30,638",367,"776,082,445","553,227","1,402,828,373 ",Asia
Brazil,"29,194,042",,"653,588 ",,"27,470,786",,"1,069,668","8,318","135,722","3,039","63,776,166","296,493","215,101,451 ",South America
France,"23,234,062",,"139,773 ",,"21,928,862",,"1,165,427","1,962","354,629","2,133","246,629,975","3,764,393","65,516,532 ",Europe
UK,"19,373,884",,"162,482 ",,"18,138,356",,"1,073,046",275,"282,888","2,372","488,292,589","7,129,817","68,485,991 ",Europe
Russia,"17,191,300","+51,231","358,911 ",+665,"15,043,717","+148,634","1,788,672","2,300","117,717","2,458","273,400,000","1,872,093","146,039,751 ",Europe
Germany,"16,517,631","+181,295","125,626 ",+111,"12,963,800","+210,100","3,428,205","2,494","196,091","1,491","104,701,826","1,242,977","84,234,696 ",Europe
Turkey,"14,458,881",,"95,954 ",,"13,951,247",,"411,680",975,"168,390","1,117","147,197,493","1,714,276","85,865,689 ",Asia
Italy,"13,214,498","+54,230","156,493 ",+136,"12,086,850","+85,787","971,155",545,"219,101","2,595","191,387,173","3,173,273","60,312,234 ",Europe
Spain,"11,181,510",,"100,992 ",,"10,214,067",,"866,451",743,"238,996","2,159","471,036,328","10,068,052","46,785,249 ",Europe
Argentina,"8,955,458",,"126,955 ",,"8,753,450",,"75,053",916,"195,136","2,766","34,641,140","754,816","45,893,460 ",South America
Iran,"7,113,591","+6,424","138,572 ",+139,"6,761,892","+7,658","213,127","3,176","82,908","1,615","48,036,013","559,852","85,801,235 ",Asia
Netherlands,"6,986,628","+74,518","21,675 ",+41,"5,328,403","+189,367","1,636,550",159,"406,231","1,260","21,107,399","1,227,270","17,198,663 ",Europe
Colombia,"6,074,155",,"139,189 ",,"5,904,365",,"30,601",342,"117,273","2,687","33,427,450","645,377","51,795,208 ",South America
Indonesia,"5,847,900","+21,311","151,413 ",+278,"5,296,634","+38,399","399,853","2,771","21,006",544,"88,544,248","318,059","278,389,064 ",Asia
Poland,"5,788,363","+13,438","113,186 ",+184,"5,160,958","+8,460","514,219",557,"153,225","2,996","34,365,607","909,700","37,776,866 ",Europe
Mexico,"5,583,773","+8,165","320,410 ",+244,"4,863,376",,"399,987","4,798","42,556","2,442","15,287,662","116,512","131,211,484 ",North America
Japan,"5,546,271","+62,747","25,486 ",+205,"4,911,283","+61,591","609,502","1,322","44,079",203,"40,484,358","321,751","125,824,999 ",Asia
S. Korea,"5,539,650","+327,532","9,646 ",+206,"969,524",,"4,560,480","1,113","107,894",188,"15,804,065","307,811","51,343,425 ",Asia
Vietnam,"5,042,036",,"41,086 ",,"2,855,214",,"2,145,736","3,878","51,027",416,"80,763,591","817,346","98,811,950 ",Asia
Ukraine,"4,882,361",,"106,784 ",,N/A,N/A,N/A,177,"112,778","2,467","19,521,252","450,924","43,291,683 ",Europe
Malaysia,"3,711,199",,"33,497 ",,"3,367,542",,"310,160",388,"112,245","1,013","51,319,407","1,552,147","33,063,507 ",Asia
Israel,"3,690,981",,"10,322 ",,"3,634,202",,"46,457",410,"395,773","1,107","41,373,364","4,436,346","9,326,000 ",Asia
South Africa,"3,688,423",,"99,656 ",,"3,569,538",,"19,229",546,"60,899","1,645","23,314,522","384,941","60,566,459 ",Africa
Philippines,"3,669,283",,"57,182 ",,"3,564,630",,"47,471",289,"32,751",510,"28,428,336","253,747","112,034,234 ",Asia
Czechia,"3,662,117","+9,034","39,068 ",+14,"3,541,089","+4,503","81,960",142,"340,903","3,637","52,980,025","4,931,857","10,742,409 ",Europe
Belgium,"3,609,122",,"30,313 ",,"3,300,995","+15,405","277,814",206,"309,146","2,597","31,979,911","2,739,299","11,674,486 ",Europe
Peru,"3,530,004",,"211,301 ",,N/A,N/A,N/A,743,"104,610","6,262","27,740,350","822,074","33,744,364 ",South America
Australia,"3,500,734","+38,073","5,520 ",+22,"3,250,184","+26,984","245,030",113,"134,656",212,"64,351,597","2,475,293","25,997,564 ",Australia/Oceania
Portugal,"3,380,263","+12,794","21,285 ",+18,"2,876,177","+8,319","482,801",70,"333,140","2,098","37,805,639","3,725,911","10,146,684 ",Europe
Canada,"3,342,123",,"37,143 ",,"3,193,127",,"111,853",552,"87,264",970,"58,577,551","1,529,486","38,298,856 ",North America
Chile,"3,249,890","+19,097","43,527 ",+244,"2,389,453","+25,838","816,910","1,011","167,587","2,245","33,817,368","1,743,859","19,392,255 ",South America
Thailand,"3,111,857","+22,984","23,515 ",+74,"2,868,011","+24,161","220,331",687,"44,395",335,"17,270,775","246,392","70,094,671 ",Asia
Switzerland,"3,026,923","+17,994","13,361 ",+4,"2,447,480","+32,216","566,082",141,"345,496","1,525","19,192,127","2,190,606","8,761,103 ",Europe
Austria,"3,022,079","+49,432","15,136 ",+23,"2,671,393","+27,452","335,550",179,"332,357","1,665","164,876,915","18,132,575","9,092,857 ",Europe
Romania,"2,784,651","+3,565","64,226 ",+60,"2,606,660",,"113,765",630,"146,393","3,376","21,466,696","1,128,533","19,021,767 ",Europe
Denmark,"2,783,384","+13,503","5,049 ",+41,"2,559,518","+23,728","218,817",26,"477,709",867,"126,140,210","21,649,319","5,826,521 ",Europe
Greece,"2,583,366","+21,863","26,424 ",+58,"2,370,821","+27,671","186,121",359,"249,905","2,556","68,363,846","6,613,259","10,337,391 ",Europe
Sweden,"2,465,099",,"17,716 ",,"2,356,320","+19,558","91,063",54,"241,553","1,736","18,297,871","1,792,992","10,205,214 ",Europe
Iraq,"2,311,238",+699,"25,090 ",+8,"2,262,122","+1,289","24,026",89,"55,372",601,"18,113,388","433,959","41,739,823 ",Asia
Bangladesh,"1,948,798",+327,"29,100 ",+3,"1,855,249","+2,879","64,449","1,264","11,638",174,"13,600,387","81,221","167,449,514 ",Asia
Serbia,"1,934,953","+2,139","15,533 ",+21,"1,867,601","+3,852","51,819",74,"222,968","1,790","8,891,431","1,024,576","8,678,154 ",Europe
Hungary,"1,812,294","+2,377","44,603 ",+54,"1,646,037","+4,781","121,654",117,"188,406","4,637","10,907,123","1,133,905","9,619,078 ",Europe
Jordan,"1,654,677",,"13,882 ",,"1,572,386",,"68,409",694,"159,510","1,338","16,319,298","1,573,168","10,373,528 ",Asia
Georgia,"1,631,900","+1,970","16,485 ",+29,"1,578,178","+7,294","37,237",,"410,408","4,146","16,039,231","4,033,725","3,976,283 ",Asia
Slovakia,"1,546,510","+12,066","18,817 ",+31,"1,389,931","+15,147","137,762",215,"283,031","3,444","6,561,449","1,200,831","5,464,092 ",Europe
Pakistan,"1,516,789",+639,"30,291 ",+4,"1,468,449",+581,"18,049",707,"6,650",133,"26,785,763","117,428","228,104,063 ",Asia
Norway,"1,333,793",,"1,753 ",,"88,952",,"1,243,088",17,"242,836",319,"9,852,076","1,793,714","5,492,557 ",Europe
Ireland,"1,332,701","+4,057","6,590 ",+12,"1,218,284","+3,773","107,827",41,"264,921","1,310","11,495,585","2,285,147","5,030,567 ",Europe
Kazakhstan,"1,304,101",+89,"13,639 ",,"1,278,409","+1,007","12,053",528,"68,083",712,"11,575,012","604,297","19,154,496 ",Asia
Morocco,"1,161,848",,"16,029 ",,"1,144,337",,"1,482",293,"30,862",426,"11,237,010","298,488","37,646,466 ",Africa
Bulgaria,"1,107,888",,"35,995 ",,"866,213",,"205,680",365,"161,489","5,247","9,324,207","1,359,127","6,860,438 ",Europe
