"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"228,946",+148,"5,226 ",,"221,914",+118,"1,806",22,159,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"92,647,749","+121,863","1,053,572 ",+387,"87,651,014","+99,277","3,943,163","4,575",,,"1,066,125,697",, ,North America
India,"43,938,764","+18,313","526,167 ",+57,"43,246,829","+18,159","165,768",698,"31,206",374,"873,185,917","620,154","1,408,014,016 ",Asia
Brazil,"33,660,608","+38,643","677,563 ",+350,"32,121,537","+84,776","861,508","8,318","156,068","3,142","63,776,166","295,700","215,678,531 ",South America
France,"33,631,019","+87,562","151,679 ",+119,"31,661,782","+154,485","1,817,558",869,"512,890","2,313","271,490,188","4,140,361","65,571,621 ",Europe
Germany,"30,598,385","+121,780","143,545 ",+181,"28,505,400","+132,700","1,949,440","1,440","362,811","1,702","122,332,384","1,450,520","84,336,905 ",Europe
UK,"23,212,565",,"182,727 ",,"22,542,007","+25,017","487,831",146,"338,267","2,663","522,526,476","7,614,549","68,622,120 ",Europe
Italy,"20,773,396","+88,784","171,232 ",+253,"19,206,168","+107,347","1,395,996",434,"344,624","2,841","235,787,896","3,911,651","60,278,361 ",Europe
S. Korea,"19,346,764","+99,268","24,907 ",+17,"18,446,282","+19,293","875,575",144,"376,688",485,"15,804,065","307,710","51,360,247 ",Asia
Russia,"18,545,009","+6,183","382,236 ",+47,"17,948,330","+5,422","214,443","2,300","126,965","2,617","273,400,000","1,871,787","146,063,605 ",Europe
Turkey,"15,524,071",,"99,184 ",,"15,221,506",,"203,381",975,"180,067","1,150","162,743,369","1,887,697","86,212,638 ",Asia
Spain,"13,204,863",,"110,187 ",,"12,490,889",,"603,787",339,"282,203","2,355","471,036,328","10,066,567","46,792,152 ",Europe
Japan,"11,500,595","+154,011","31,940 ",+55,"10,134,994","+96,584","1,333,661",271,"91,509",254,"61,003,871","485,400","125,677,550 ",Asia
Vietnam,"10,771,219","+1,460","43,092 ",,"9,874,075","+7,107","854,052",46,"108,639",435,"85,826,548","865,653","99,146,617 ",Asia
Argentina,"9,507,562",,"129,278 ",,"9,265,048","+3,804","113,236",456,"206,453","2,807","35,716,069","775,561","46,051,944 ",South America
Australia,"9,186,102","+46,629","11,304 ",+104,"8,797,363","+46,613","377,435",165,"351,814",433,"75,875,859","2,905,930","26,110,699 ",Australia/Oceania
Netherlands,"8,320,277","+4,449","22,476 ",+11,"8,139,642","+4,480","158,159",61,"483,368","1,306","21,107,399","1,226,239","17,213,124 ",Europe
Iran,"7,348,963","+11,035","141,758 ",+41,"7,074,995",+829,"132,210","1,039","85,242","1,644","53,074,510","615,625","86,212,452 ",Asia
Mexico,"6,628,541","+4,231","327,109 ",+20,"5,737,082","+32,716","564,350","4,798","50,319","2,483","17,472,649","132,641","131,729,321 ",North America
Colombia,"6,247,634",,"140,603 ",,"6,053,853",,"53,178",342,"120,141","2,704","35,889,624","690,151","52,002,540 ",South America
Indonesia,"6,178,873","+6,483","156,929 ",+13,"5,978,522","+3,511","43,422","2,771","22,107",561,"103,116,512","368,939","279,494,751 ",Asia
Poland,"6,054,741","+5,106","116,524 ",+14,"5,335,824",+1,"602,393","1,157","160,343","3,086","36,618,336","969,738","37,761,071 ",Europe
Portugal,"5,329,332","+5,607","24,564 ",+9,"5,125,590","+14,320","179,178",61,"525,816","2,424","43,527,258","4,294,594","10,135,361 ",Europe
Ukraine,"5,021,612",,"108,699 ",,"4,909,952",+158,"2,961",177,"116,263","2,517","19,521,252","451,968","43,191,710 ",Europe
DPRK,"4,772,780",+40,74 ,,"4,772,440",+110,266,,"183,484",3,,,"26,012,012 ",Asia
Austria,"4,705,111","+9,213","19,024 ",+18,"4,564,278","+12,301","121,809",93,"516,337","2,088","193,050,411","21,185,286","9,112,476 ",Europe
Malaysia,"4,659,710","+4,759","35,932 ",+9,"4,577,518","+4,806","46,260",52,"140,259","1,082","62,202,991","1,872,336","33,222,125 ",Asia
Thailand,"4,579,421","+1,828","31,227 ",+35,"4,524,592","+2,173","23,602","1,496","65,270",445,"17,270,775","246,158","70,161,479 ",Asia
Israel,"4,563,773","+5,990","11,304 ",+4,"4,498,393","+22,172","54,076",310,"489,360","1,212","41,373,364","4,436,346","9,326,000 ",Asia
Taiwan,"4,472,724","+25,040","8,686 ",+37,"3,955,510","+34,495","508,528",,"187,098",363,"22,485,974","940,610","23,905,745 ",Asia
Belgium,"4,398,161",,"32,179 ",,"4,189,677","+6,856","176,305",111,"376,113","2,752","34,947,117","2,988,533","11,693,736 ",Europe
Greece,"4,349,423",,"30,999 ",,"4,079,518","+29,068","238,906",115,"421,537","3,004","88,517,545","8,578,934","10,318,012 ",Europe
Chile,"4,195,780","+4,433","59,393 ",+10,"3,899,942","+11,262","236,445",181,"215,666","3,053","41,761,677","2,146,584","19,454,951 ",South America
Canada,"4,012,359",,"43,583 ",,"3,695,850",,"272,926",195,"104,420","1,134","62,586,673","1,628,788","38,425,299 ",North America
South Africa,"4,003,502",+521,"101,962 ",+7,"3,895,373",+526,"6,167",192,"65,790","1,676","25,948,518","426,417","60,852,468 ",Africa
Czechia,"3,972,280","+3,766","40,413 ",+9,"3,913,081","+2,210","18,786",36,"369,515","3,759","55,700,667","5,181,464","10,749,986 ",Europe
Switzerland,"3,930,649","+4,438","14,046 ",,"3,720,190","+7,816","196,413",73,"447,413","1,599","21,810,511","2,482,620","8,785,278 ",Europe
Peru,"3,859,279","+14,186","214,112 ",+41,"3,477,185","+7,970","167,982",211,"113,776","6,312","32,832,543","967,938","33,920,099 ",South America
Philippines,"3,757,761","+2,359","60,694 ",,"3,669,425","+2,341","27,642",612,"33,375",539,"31,363,001","278,554","112,592,186 ",Asia
Denmark,"3,056,356","+1,610","6,618 ",+7,"3,027,741","+2,353","21,997",14,"523,860","1,134","127,932,469","21,927,632","5,834,304 ",Europe
Romania,"3,024,064","+12,353","65,894 ",+32,"2,876,268","+14,938","81,902",215,"159,388","3,473","23,934,621","1,261,513","18,972,946 ",Europe
Sweden,"2,533,978",,"19,216 ",,"2,497,502",,"17,260",14,"247,719","1,879","18,731,976","1,831,215","10,229,259 ",Europe
Iraq,"2,435,440","+2,654","25,297 ",+4,"2,375,576","+3,565","34,567",30,"57,868",601,"19,031,669","452,210","42,085,912 ",Asia
Serbia,"2,095,066","+6,100","16,229 ",+6,"2,021,132",,"57,705",18,"241,792","1,873","10,156,313","1,172,141","8,664,755 ",Europe
Bangladesh,"2,002,944",+621,"29,275 ",+4,"1,938,372","+1,132","35,297","1,228","11,917",174,"14,573,078","86,705","168,076,645 ",Asia
Hungary,"1,951,079",,"46,736 ",,"1,883,085",,"21,258",17,"203,032","4,863","11,394,556","1,185,731","9,609,735 ",Europe
Slovakia,"1,813,388","+1,185","20,201 ",+3,"1,781,795",+840,"11,392",29,"331,812","3,696","7,217,162","1,320,591","5,465,100 ",Europe
Jordan,"1,709,879",,"14,074 ",,"1,691,909",,"3,896",124,"164,218","1,352","16,981,984","1,630,963","10,412,243 ",Asia
Singapore,"1,677,126","+12,419","1,487 ",+4,"1,578,532","+8,063","97,107",18,"282,092",250,"24,107,231","4,054,821","5,945,325 ",Asia
Georgia,"1,675,265",,"16,854 ",,"1,637,293",,"21,118",,"421,624","4,242","16,920,079","4,258,374","3,973,366 ",Asia
Ireland,"1,644,166",+523,"7,640 ",,"1,576,303","+2,528","60,223",35,"325,471","1,512","12,524,966","2,479,378","5,051,656 ",Europe
New Zealand,"1,580,477","+9,675","1,981 ",+40,"1,518,146","+11,266","60,350",,"315,963",396,"7,358,021","1,470,986","5,002,100 ",Australia/Oceania
