"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,"242,689",+382,"5,226 ",,"230,980",+547,"6,483",29,169,4,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"96,276,637","+71,215","1,071,017 ",+344,"91,873,634","+114,545","3,331,986","4,029",,,"1,100,355,942",, ,North America
India,"44,429,258","+9,587","527,874 ",+45,"43,835,852","+10,828","65,532",698,"31,526",375,"885,528,970","628,342","1,409,310,426 ",Asia
France,"34,509,961","+27,358","154,039 ",+72,"33,991,002","+27,003","364,920",869,"526,184","2,349","271,490,188","4,139,492","65,585,393 ",Europe
Brazil,"34,414,011","+16,806","683,914 ",+196,"33,457,359","+65,223","272,738","8,318","159,455","3,169","63,776,166","295,502","215,822,801 ",South America
Germany,"32,145,157","+49,303","147,404 ",+181,"31,204,400","+73,400","793,353","1,406","381,036","1,747","122,332,384","1,450,081","84,362,457 ",Europe
UK,"23,517,725","+4,067","188,175 ",+69,"23,189,972","+9,080","139,578",146,"342,544","2,741","522,526,476","7,610,774","68,656,152 ",Europe
S. Korea,"23,142,479","+115,519","26,689 ",+71,"21,085,222","+128,622","2,030,568",591,"450,554",520,"15,804,065","307,685","51,364,453 ",Asia
Italy,"21,845,943","+31,087","175,505 ",+98,"21,010,197","+39,512","660,241",226,"362,469","2,912","242,250,595","4,019,430","60,269,892 ",Europe
Russia,"19,482,648","+37,067","384,254 ",+94,"18,557,580","+36,729","540,814","2,300","133,379","2,631","273,400,000","1,871,711","146,069,569 ",Europe
Japan,"18,632,422","+125,907","39,253 ",+248,"16,678,164","+222,175","1,915,005",618,"148,299",312,"70,939,816","564,625","125,640,688 ",Asia
Turkey,"16,671,848",,"100,400 ",,N/A,N/A,N/A,975,"193,186","1,163","162,743,369","1,885,800","86,299,375 ",Asia
Spain,"13,342,530","+2,387","112,600 ",+35,"13,113,979","+7,748","115,951",339,"285,134","2,406","471,036,328","10,066,196","46,793,878 ",Europe
Vietnam,"11,408,952","+3,241","43,117 ",+4,"10,170,271","+13,142","1,195,564",137,"114,974",435,"85,826,548","864,923","99,230,284 ",Asia
Australia,"10,017,917","+12,061","13,834 ",+75,"9,896,624","+24,010","107,459",86,"383,256",529,"78,132,677","2,989,125","26,138,983 ",Australia/Oceania
Argentina,"9,678,225",,"129,711 ",,"9,472,823","+5,970","75,691",456,"209,978","2,814","35,716,069","774,894","46,091,565 ",South America
Netherlands,"8,385,107","+1,286","22,599 ",+1,"8,313,978","+2,376","48,530",34,"487,032","1,313","21,107,399","1,225,981","17,216,739 ",Europe
Iran,"7,527,499","+1,871","143,820 ",+44,"7,292,566","+3,816","91,113","1,104","87,209","1,666","53,730,223","622,488","86,315,256 ",Asia
Mexico,"7,015,375",+865,"329,401 ",+11,"6,267,907","+5,871","418,067","4,798","53,204","2,498","18,145,182","137,611","131,858,780 ",North America
Indonesia,"6,354,245","+5,070","157,541 ",+20,"6,151,650","+4,510","45,054","2,771","22,712",563,"106,645,001","381,187","279,771,172 ",Asia
Colombia,"6,299,595",,"141,519 ",,"6,122,457",,"35,619",342,"121,020","2,719","36,279,188","696,948","52,054,373 ",South America
Poland,"6,173,045","+5,292","117,059 ",+29,"5,335,961",,"720,025","2,782","163,494","3,100","36,947,074","978,546","37,757,122 ",Europe
Portugal,"5,417,101","+3,928","24,845 ",+6,"5,319,788","+2,816","72,468",61,"534,625","2,452","43,527,258","4,295,794","10,132,530 ",Europe
Taiwan,"5,273,406","+31,445","9,893 ",+27,"4,791,775","+23,751","471,738",,"220,554",414,"24,248,455","1,014,162","23,909,855 ",Asia
Ukraine,"5,044,941",,"108,803 ",,"4,921,586","+3,893","14,552",177,"116,871","2,521","19,521,252","452,229","43,166,717 ",Europe
Austria,"4,902,914","+4,654","19,407 ",+12,"4,817,884","+7,195","65,623",69,"537,755","2,129","195,410,181","21,432,710","9,117,381 ",Europe
Malaysia,"4,780,284","+2,144","36,210 ",+4,"4,712,915","+2,549","31,159",72,"143,717","1,089","63,715,065","1,915,564","33,261,780 ",Asia
Greece,"4,762,827",,"32,552 ",,"4,655,138","+16,368","75,137",115,"461,820","3,156","91,707,649","8,892,287","10,313,168 ",Europe
Thailand,"4,648,679",+994,"32,278 ",+27,"4,600,945","+2,111","15,456","1,496","66,241",460,"17,270,775","246,099","70,178,181 ",Asia
Israel,"4,632,109",+527,"11,603 ",,"4,608,563",+539,"11,943",266,"496,688","1,244","41,373,364","4,436,346","9,326,000 ",Asia
Chile,"4,502,674","+3,451","60,445 ",+10,"4,415,436","+15,291","26,793",157,"231,255","3,104","43,916,886","2,255,546","19,470,625 ",South America
Belgium,"4,482,315",,"32,516 ",,"4,389,967","+5,472","59,832",63,"383,151","2,779","35,286,170","3,016,286","11,698,548 ",Europe
Canada,"4,158,491",,"43,797 ",,"4,024,591","+4,085","90,103",261,"108,134","1,139","64,259,009","1,670,935","38,456,909 ",North America
Peru,"4,102,641","+1,718","215,745 ",+60,"3,831,031","+15,626","55,865",216,"120,794","6,352","34,303,728","1,010,002","33,964,033 ",South America
Czechia,"4,038,521","+2,657","40,811 ",+10,"3,985,071","+2,014","12,639",28,"375,611","3,796","55,955,186","5,204,223","10,751,880 ",Europe
Switzerland,"4,025,870","+2,279","14,148 ",,"3,937,093","+5,621","74,629",46,"457,937","1,609","22,103,405","2,514,230","8,791,321 ",Europe
South Africa,"4,011,657",+226,"102,084 ",,"3,902,822",,"6,751",192,"65,847","1,676","26,168,861","429,533","60,923,970 ",Africa
Philippines,"3,878,671","+1,609","61,773 ",+53,"3,790,793","+2,900","26,105",655,"34,406",548,"32,206,771","285,694","112,731,674 ",Asia
Romania,"3,216,257","+4,046","66,673 ",+34,"3,092,987","+2,252","56,597",219,"169,627","3,516","24,643,997","1,299,738","18,960,741 ",Europe
Denmark,"3,091,394",+720,"6,920 ",+8,"3,074,019","+1,337","10,455",6,"529,689","1,186","128,191,650","21,964,733","5,836,249 ",Europe
Sweden,"2,564,423",,"19,779 ",,"2,522,476",+522,"22,168",17,"250,548","1,932","18,844,252","1,841,109","10,235,271 ",Europe
Iraq,"2,457,871",,"25,346 ",,"2,429,962",,"2,563",21,"58,281",601,"19,212,734","455,576","42,172,434 ",Asia
Serbia,"2,279,485","+3,810","16,672 ",+15,"2,181,127","+6,208","81,686",25,"263,177","1,925","10,663,811","1,231,187","8,661,406 ",Europe
Hungary,"2,036,390",,"47,191 ",,"1,945,910",,"43,289",27,"211,961","4,912","11,394,556","1,186,019","9,607,399 ",Europe
Bangladesh,"2,011,732",+172,"29,323 ",,"1,956,201",+362,"26,208","1,331","11,958",174,"14,747,609","87,662","168,233,428 ",Asia
Singapore,"1,837,090","+2,900","1,592 ",+1,"1,759,287","+2,015","76,211",10,"308,769",268,"24,342,902","4,091,437","5,949,719 ",Asia
Slovakia,"1,833,873",+125,"20,349 ",,"1,808,150",+694,"5,374",39,"335,545","3,723","7,266,881","1,329,627","5,465,352 ",Europe
New Zealand,"1,738,492","+2,590","2,725 ",+11,"1,719,961","+3,806","15,806",,"347,552",545,"7,480,062","1,495,384","5,002,100 ",Australia/Oceania
Georgia,"1,735,682",,"16,889 ",,"1,637,293",,"81,500",,"436,909","4,251","16,920,079","4,259,156","3,972,637 ",Asia
Jordan,"1,735,495",,"14,110 ",,"1,718,032",,"3,353",59,"166,524","1,354","17,128,152","1,643,473","10,421,922 ",Asia
Ireland,"1,656,881",+557,"7,798 ",,"1,638,645",+104,"10,438",14,"327,646","1,542","12,632,936","2,498,144","5,056,928 ",Europe
Pakistan,"1,568,849",+170,"30,575 ",,"1,528,907",,"9,367",111,"6,816",133,"30,095,965","130,762","230,158,265 ",Asia
